slug,market,outcome,kind,t0,a_ref,b_ref,mid_at_0,mid_change,DA5_start,DA5_at_0,DA5_ratio,DB5_at_0,CA5_max_pre,CA1_max_pre,CB5_max_pre,I5_at_0
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787882445.899101,0.35,0.34,0.37,-0.005,5213.21,1369.0,0.2627,1665.27,2.026,8.5606,1.7122,0.0976
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787882611.048944,0.36,0.35,0.37,0.015,76957.58,35.0,0.0005,2414.25,8.488,11.1868,4.0144,0.971
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787882993.248579,0.44,0.42,0.435,0.02,2863.0,1757.0,0.6138,2563.0,4.3463,4.7044,4.4874,0.1865
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787883162.448418,0.4,0.39,0.415,0.0,55090.02,10.0,0.0002,1264.49,4.2816,4.6006,3.8667,0.9835
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787883835.797776,0.37,0.36,0.37,0.015,77033.03,937.49,0.0122,1817.5,3.256,2.9752,3.4443,0.3193
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884156.097470,0.39,0.38,0.405,0.0,21991.3,21797.5,0.9912,25152.28,-0.0,-0.0,-0.0,0.0715
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884281.797350,0.42,0.41,0.435,0.0,101620.32,12821.81,0.1262,102836.92,0.0,0.0001,-0.0,0.7783
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884390.797246,0.41,0.4,0.435,0.0,43557.23,5775.92,0.1326,61531.15,-0.0,-0.0,-0.0,0.8284
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884503.597139,0.44,0.43,0.44,0.045,82694.58,3122.0,0.0378,4725.8,3.2696,5.2731,2.5407,0.2043
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884608.797039,0.58,0.57,0.59,0.005,1028.9,47338.27,45.9649,66861.65,0.1198,0.5211,-0.011,0.171
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884677.296973,0.6,0.58,0.605,0.01,519.4,305.39,0.5888,671.0,0.571,5.4267,0.924,0.3741
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884744.446909,0.58,0.57,0.585,0.02,1133.0,584.0,0.5159,2241.91,3.8788,4.9383,2.8189,0.5865
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787884912.446749,0.61,0.6,0.61,0.07,87892.73,26.82,0.0003,204.0,6.0869,9.0452,5.9731,0.7643
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885025.896641,0.66,0.64,0.6,-0.005,8554.0,32.0,0.0039,0.0,5.1708,6.4135,8.9716,-0.9697
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885088.346581,0.67,0.66,0.655,0.02,11510.0,55.0,0.0049,10.0,5.399,8.2545,7.4979,-0.6818
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885418.896266,0.47,0.45,0.455,0.015,1970.5,1918.26,0.9735,1218.0,0.2386,0.0114,1.0912,-0.2232
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885512.246177,0.49,0.48,0.505,0.02,28158.19,20.0,0.0007,500.3,4.2642,3.1931,7.5161,0.9214
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885660.146036,0.54,0.53,0.56,-0.01,13434.48,92.0,0.0069,789.0,1.2862,0.5118,1.0402,0.7902
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885723.295976,0.57,0.54,0.555,0.005,1274.8,1964.7,1.5408,931.0,0.8255,2.3979,0.031,-0.3569
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787885836.345868,0.56,0.55,0.53,-0.005,13224.59,1541.0,0.1166,5.0,2.6514,2.0991,9.7058,-0.9929
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787886209.195512,0.54,0.53,0.575,0.0,80505.14,89.0,0.0011,42070.28,0.4776,0.4815,0.5437,0.9958
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787886379.595350,0.56,0.55,0.565,0.075,18727.18,180.0,0.0097,171476.92,6.3235,10.6932,0.292,0.9979
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787886630.745110,0.54,0.53,0.5,0.0,55492.03,395.0,0.0071,0.0,5.0863,5.9941,11.308,-0.9975
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787886713.195032,0.47,0.46,0.47,0.0,26091.6,3038.0,0.1165,4026.67,1.2168,3.7924,1.1062,0.1399
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787886920.194834,0.45,0.43,0.425,0.015,1333.0,1393.0,1.045,52.0,2.0377,1.5372,5.9805,-0.9274
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787887391.444385,0.34,0.33,0.36,-0.015,55264.26,5.0,0.0001,3523.47,6.2939,5.542,2.2113,0.9969
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787887704.794086,0.31,0.29,0.31,0.02,9256.03,1973.0,0.2132,2763.4,0.4012,0.6874,1.1198,0.1668
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787887811.443984,0.35,0.34,0.33,0.03,35610.17,859.0,0.0241,344.8,3.5789,2.1252,7.3389,-0.4268
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787887971.993831,0.33,0.3,0.335,-0.005,391.8,55.0,0.1426,1258.0,1.4677,4.8828,0.7968,0.9155
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787888121.543689,0.29,0.28,0.315,-0.025,44293.55,0.0,0.0,1357.22,6.5877,7.8823,3.9623,0.9993
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787888830.893012,0.22,0.19,0.22,0.025,719.3,340.0,0.4734,1231.74,0.912,1.1958,1.0414,0.567
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787889024.892827,0.19,0.18,0.19,0.025,70737.83,21267.9,0.3007,34596.16,0.8831,0.3676,0.8928,0.2386
mlb-ari-sf-2026-08-27,moneyline,YES,jump,1787889621.092258,0.15,0.14,0.13,0.015,5126.39,514.39,0.1005,632.0,2.3946,2.7181,4.62,0.1025
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787881805.299712,0.5,0.49,0.495,0.0,87773.39,79093.39,0.9011,80817.75,0.581,0.6255,0.1024,0.0108
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787881925.399598,0.48,0.47,0.475,0.0,116548.49,116463.49,0.9993,122171.34,0.0007,-0.0,-0.0,0.0239
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787882045.499483,0.48,0.47,0.475,0.0,82366.81,78124.81,0.9485,84943.14,0.4565,0.6459,0.0339,0.0418
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787882227.249310,0.34,0.32,0.345,0.0,1517.9,13082.76,8.614,3538.04,0.571,-0.0,0.0209,-0.5742
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787882731.148829,0.4,0.39,0.395,0.0,89904.12,8428.29,0.0938,685.0,2.404,2.0103,5.7885,-0.8496
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787882791.198772,0.43,0.42,0.425,0.0,64876.59,64876.59,1.0,77748.45,0.0091,-0.0,-0.0,0.0902
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787883462.698132,0.4,0.39,0.395,0.0,66287.26,69771.81,1.0526,70891.57,-0.0,0.0005,0.0009,0.008
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787883522.748074,0.41,0.4,0.405,0.0,119431.81,119378.81,0.9996,67772.36,0.0004,-0.0,0.0173,-0.2757
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787883895.847718,0.35,0.34,0.345,0.0,54843.42,58788.42,1.0719,60397.53,0.048,-0.0,0.0133,0.0135
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787883955.897661,0.35,0.34,0.345,0.0,78737.64,68837.67,0.8743,74100.17,0.1344,0.1942,0.0001,0.0368
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787884216.147413,0.41,0.4,0.405,0.0,65387.04,65387.04,1.0,465792.29,-0.0,-0.0,-0.0,0.7538
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787885148.396524,0.59,0.58,0.585,0.0,61936.87,57486.36,0.9281,70662.52,0.0746,-0.0,0.0688,0.1028
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787885208.446467,0.61,0.6,0.605,0.0,68217.28,37709.28,0.5528,74981.09,0.5942,0.7094,0.5329,0.3307
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787885268.496409,0.52,0.51,0.515,0.0,79934.21,64253.18,0.8038,67842.86,0.4699,2.1722,1.1144,0.0272
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787885572.296120,0.52,0.51,0.515,0.0,24152.57,30126.83,1.2473,41384.79,0.0197,-0.0,-0.0,0.1574
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787886016.495696,0.59,0.58,0.575,0.0,85219.19,1844.73,0.0217,2720.2,3.8393,3.8374,3.2909,0.1917
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787886439.645293,0.53,0.52,0.525,0.0,85317.06,85065.27,0.997,90343.51,0.003,0.0032,0.0072,0.0301
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787886559.745178,0.53,0.52,0.525,0.0,62844.68,52551.12,0.8362,81829.03,1.029,1.4276,0.6023,0.2179
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787886833.294917,0.43,0.42,0.425,0.0,72149.37,72126.11,0.9997,117384.18,0.0003,0.001,0.0026,0.2388
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787887040.294720,0.42,0.41,0.415,0.0,72556.36,72586.36,1.0004,107122.69,-0.0,-0.0,-0.0,0.1922
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787887100.344662,0.42,0.41,0.415,0.0,152108.37,152091.7,0.9999,80366.78,0.0001,0.0001,0.0563,-0.3085
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787887451.494328,0.34,0.33,0.335,0.0,66600.16,66581.14,0.9997,86870.97,0.001,0.0,-0.0,0.1322
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787887511.544270,0.31,0.3,0.305,0.0,115651.01,115661.01,1.0001,121446.29,-0.0,-0.0,-0.0,0.0244
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787887571.594213,0.31,0.3,0.305,0.0,147925.76,147868.62,0.9996,161788.82,0.0004,0.0004,0.0005,0.045
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787887871.493927,0.36,0.35,0.355,0.0,96047.2,96047.2,1.0,154048.76,-0.0,-0.0,0.0035,0.2319
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888032.043774,0.31,0.3,0.305,0.0,64229.63,65604.63,1.0214,102821.74,-0.0,-0.0,-0.0,0.221
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888181.593631,0.28,0.27,0.275,0.0,93253.74,93253.74,1.0,126438.24,-0.0,-0.0,0.0039,0.151
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888301.693517,0.29,0.28,0.285,0.0,49201.2,48748.13,0.9908,102020.67,0.0517,0.01,0.3419,0.3533
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888421.793402,0.32,0.3,0.305,0.0,1948.0,3126.44,1.6046,54013.06,-0.0,-0.0,-0.0068,0.8906
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888481.843345,0.32,0.31,0.315,0.0,21908.7,21908.7,1.0,51924.33,-0.0,-0.0,-0.0,0.4065
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888662.593173,0.26,0.25,0.245,0.0,571.0,541.0,0.9476,1040.0,3.8782,4.0576,3.7426,0.3154
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787888950.992898,0.19,0.18,0.185,0.0,1738.4,13257.64,7.6225,45504.33,-0.0,-0.0,-0.0,0.5488
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787889144.992712,0.15,0.14,0.145,0.0,14351.84,30351.85,2.1148,60503.43,-0.0,0.05,0.0002,0.3319
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787889205.042655,0.15,0.14,0.145,0.0,86537.01,86537.01,1.0,72132.01,-0.0,-0.0,0.008,-0.0908
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787889741.392144,0.08,0.05,0.06,-0.005,292.38,378.0,1.2918,5929.02,0.127,0.0629,1.6737,0.88
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787889921.941972,0.03,0.02,0.02,0.0,4826.26,4226.27,0.8757,304.41,0.1093,0.1144,1.5326,-0.8654
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787890162.141742,0.009,0.004,0.0065,0.0,23864.94,23914.94,1.0021,2537.0,-0.0,-0.0,-0.0,-0.8081
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787890222.191685,0.019,0.006,0.008,0.0,23529.42,9367.39,0.3981,2932.0,0.9495,0.9505,1.9898,-0.5232
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787890342.291571,0.01,0.005,0.0065,0.001,27923.5,27921.5,0.9999,13572.7,0.0026,0.0032,0.1454,-0.3458
mlb-ari-sf-2026-08-27,moneyline,YES,nojump,1787890522.441399,0.04,0.033,0.0365,0.0,3902.07,4951.89,1.269,35481.36,0.0036,-0.0,-0.0,0.755
mlb-bal-stl-2026-08-27,moneyline,YES,jump,1787854766.599749,0.53,0.51,0.535,-0.01,600.3,61.0,0.1031,1299.5,2.1927,2.9116,1.5148,0.9097
mlb-bal-stl-2026-08-27,moneyline,YES,jump,1787854934.549589,0.51,0.5,0.5,0.015,4538.29,20738.94,4.569,710.0,0.9808,0.639,2.903,-0.9338
mlb-bal-stl-2026-08-27,moneyline,YES,jump,1787855809.798754,0.33,0.32,0.29,-0.01,5299.0,62.0,0.0119,0.0,3.3015,2.1096,6.9698,-0.9841
mlb-bal-stl-2026-08-27,moneyline,YES,jump,1787855890.798677,0.2,0.19,0.2,0.02,10602.09,401.32,0.0379,2728.0,1.8544,1.8731,1.4941,0.7433
mlb-bal-stl-2026-08-27,moneyline,YES,jump,1787856417.448175,0.19,0.18,0.19,0.02,11606.51,3233.0,0.2786,7615.38,0.7459,1.9614,0.8417,0.4039
mlb-bal-stl-2026-08-27,moneyline,YES,jump,1787857191.497437,0.19,0.17,0.22,0.045,557.0,0.0,0.0018,2153.92,2.1112,4.3175,0.1235,0.9995
