feature,gain
rv_150,0.6380076380924542
stale,0.13320035429522112
spread_ticks,0.032907925909124384
log_bid_usd,0.022214168290943307
reach_ask,0.01897089389173684
rv_25,0.018830453773669313
conc_bid,0.01592830421529422
rv_5,0.013569712756154763
log_ask_usd,0.01333710017611673
reach_bid,0.013230881028028309
conc_ask,0.011373796603276726
imb3,0.010737646351500305
imb5,0.010502142209646341
imb10,0.0103623329889452
dmid_25,0.009452414173066366
ofi_25,0.007596891455748782
imb1,0.0067875155595141096
microprice_dev,0.005838073297020608
ofi_5,0.004655105531617042
dmid_5,0.002496649400921344
