model,auc,brier,base_rate,pnl_always,threshold,quote_frac,pnl_per_quote,pnl_per_opp,pnl_opp_lo,pnl_opp_hi,beats_zero,gain_per_quote,never_quotes,adverse,n_test,n_eff_test,val_auc,val_pnl_opp,nparam,session
gate_rv25_only,0.8449172393408562,0.1636853888771198,0.39012,-0.0952883660793304,0.0,0.0,,0.0,0.0,0.0,False,,True,,200000,8000.0,0.8284517482715634,0.0,,
gate_rv150_only,0.8791353987390629,0.1524613841972915,0.39012,-0.0952883660793304,0.65,0.64994,0.0017652320675551,0.0011472948826849,0.0002107574910041,0.0020722126122564,True,0.0970535981468856,False,0.0145990094169974,200000,8000.0,0.8666980135870175,0.0025664297863841,,
gate_spread_only,0.7225304689472827,0.2240557922267269,0.39012,-0.0952883660793304,0.0,0.0,,0.0,0.0,0.0,False,,True,,200000,8000.0,0.7203743624020857,0.0,,
gate_staleness_only,0.1875735440710196,0.4817358029921648,0.39012,-0.0952883660793304,0.0,0.0,,0.0,0.0,0.0,False,,True,,200000,8000.0,0.1927664325426028,0.0,,
gate_bookage_only,0.3536518647366868,0.4029724739615811,0.39012,-0.0952883660793304,0.0,0.0,,0.0,0.0,0.0,False,,True,,200000,8000.0,0.3434645520581586,0.0,,
logreg_hand,0.8968210488694113,0.1298134922981262,0.39012,-0.0952883660793304,0.1,0.161415,0.0031322366558015,0.0005055899964645,0.0002911807488999,0.0007062157572363,True,0.0984206027351319,False,0.0022133165039122,200000,8000.0,0.889655143986813,0.0006405948079191,,
lightgbm_hand,0.9158371631964976,0.1131376657866239,0.39012,-0.0952883660793304,0.1,0.35176,0.0017170866485685,0.0006040023872628,0.0003315746384032,0.0008650320480228,True,0.0970054527278989,False,0.0043498980812728,200000,8000.0,0.913632252829494,0.0009572372655384,,
cnn_transformer,0.9276272724793582,0.132823184132576,0.39012,-0.0952883660793304,0.25,0.38047,0.0021400041878223,0.0008142073638737,0.0004547191922029,0.0011255363206146,True,0.0974283702671527,False,0.0044116294011473,200000,8000.0,0.9250531528193036,0.0012800823897123,126625.0,
logreg_hand_nomid,0.8968210488694113,0.1298134922981262,0.39012,-0.0952883660793304,0.1,0.161415,0.0031322366558015,0.0005055899964645,0.0002911807488999,0.0007062157572363,True,0.0984206027351319,False,0.0022133165039122,200000,8000.0,0.889655143986813,0.0006405948079191,,
lightgbm_hand_nomid,0.9158371631964976,0.1131376657866239,0.39012,-0.0952883660793304,0.1,0.35176,0.0017170866485685,0.0006040023872628,0.0003315746384032,0.0008650320480228,True,0.0970054527278989,False,0.0043498980812728,200000,8000.0,0.913632252829494,0.0009572372655384,,
cnn_transformer_nomid,0.8878159916661216,0.1553476303815841,0.39012,-0.0952883660793304,0.05,0.21013,-0.0012845860328525,-0.0002699300530366,-0.000988918961957,0.0003679440182168,False,0.0940037800464779,False,0.006645361892879,200000,8000.0,0.902883828167508,0.000578862207476,126625.0,
gbm_collapse,0.7932068516203037,0.1779790271132751,0.3903266666666666,-0.0953222662210464,0.0,0.0,,0.0,0.0,0.0,False,,True,,150000,6000.0,0.7922597715117847,0.0,,
cnn_depth_raw,0.9300220078270394,0.1378033608198166,0.3903266666666666,-0.0953222662210464,0.25,0.3649533333333333,0.0025502343196421,0.0009307165746577,0.0006272385362535,0.0012381617561914,True,0.0978725005406886,False,0.003671474289149,150000,6000.0,0.9282732765439736,0.0013044064398854,123977.0,
cnn_depth_flow,0.9311075724897604,0.1334805488586425,0.3903266666666666,-0.0953222662210464,0.25,0.38126,0.0022732950747013,0.0008667164947837,0.0005260479578282,0.0011894304014276,True,0.0975955612957477,False,0.0039506899192929,150000,6000.0,0.9281042787394104,0.0012836130335927,124697.0,
cnn_depth_raw_hkt0909,0.880110922247447,,0.07657814603041266,-0.007969290018081665,0.30000000000000004,,,0.0027794039342552423,0.0024037130293436348,0.0031279681366868316,True,,,,419036,,,,,hkt0909
