bucket,n,lead_s,hit_rate_depletion_rule,hit_rate_imbalance_rule,base_rate_always_up
2-3 ticks,21199,-10,0.507146563517147,0.5233265720081136,0.4762488796641351
2-3 ticks,21199,-5,0.50592009057031,0.5199773574225199,0.4762488796641351
2-3 ticks,21199,-2,0.5053068540968914,0.5101184018114062,0.4762488796641351
3-5 ticks,20759,-10,0.5065754612457247,0.5146201647478202,0.4982417264800809
3-5 ticks,20759,-5,0.5089358832313695,0.5132713521845946,0.4982417264800809
3-5 ticks,20759,-2,0.50248085167879,0.5072498675273376,0.4982417264800809
5-10 ticks,21215,-10,0.5011548432712704,0.5047372142352109,0.5190195616309216
5-10 ticks,21215,-5,0.5043129860947443,0.505962762196559,0.5190195616309216
5-10 ticks,21215,-2,0.5123261843035588,0.5022861183125147,0.5190195616309216
10-20 ticks,10791,-10,0.5008803632656844,0.49467148549717355,0.5499026966916876
10-20 ticks,10791,-5,0.5132054489852655,0.49884162728199427,0.5499026966916876
10-20 ticks,10791,-2,0.5216384023723474,0.5103326846446112,0.5499026966916876
20-+ ticks,7785,-10,0.518946692357097,0.49351316634553627,0.5624919717405267
20-+ ticks,7785,-5,0.5329479768786127,0.5095696852922287,0.5624919717405267
20-+ ticks,7785,-2,0.5497752087347463,0.5197174052665382,0.5624919717405267
