feature,attention_weight
rv_5,3.1539283
d_log_ask_depth,2.9752157
bid_gap_1,2.441338
l1_ask_usd,2.4216115
hhi_ask,2.1624804
ask_dist_1,2.0907826
rv_15,1.5945381
imbalance_l1,1.5610404
ask_dist_4,1.4354228
log_bid_usd_within_2t,1.3800831
bid_usd_2,1.3414085
log_ask_depth,1.3358042
d_imbalance,1.307863
entropy_bid,1.2745155
levels_ask,1.241663
d_log_total_depth,1.226498
bid_gap_2,1.2186948
bid_usd_1,1.1905043
ask_usd_2,1.1863022
ask_dist_3,1.1763088
bid_dist_4,1.1574706
bid_usd_10,1.1491189
bid_dist_1,1.1400089
d_log_bid_depth,1.0850668
ask_usd_1,1.0835712
bid_dist_2,1.0451611
ask_dist_2,1.02533
d_spread_ticks,1.0201609
ask_usd_5,0.9812254
bid_gap_3,0.97446996
ask_dist_5,0.9569863
entropy_ask,0.86009574
ask_usd_7,0.85444266
ask_usd_4,0.8526757
ask_usd_3,0.8308301
ask_gap_3,0.8295093
ask_usd_6,0.8276714
ask_usd_9,0.81433845
bid_usd_6,0.8074667
d_mid,0.7751237
ask_usd_8,0.7689744
ask_usd_10,0.7557894
near_frac_ask_2t,0.75423044
reach_ask,0.7518159
bid_usd_5,0.72590286
bid_usd_4,0.7208823
slope_bid,0.6987008
log_bid_depth,0.67637956
l1_bid_usd,0.644934
log_total_depth,0.6082549
tod_cos,0.5714619
bid_usd_7,0.5708696
hhi_bid,0.55910814
spread_ticks,0.55104053
bid_dist_3,0.5483623
tod_sin,0.54533714
bid_usd_3,0.52930063
mid,0.5147238
log_ask_usd_within_2t,0.49473637
levels_bid,0.48783216
imbalance,0.48348746
slope_ask,0.48262495
bid_usd_9,0.46220174
near_frac_bid_2t,0.4433803
bid_dist_5,0.41103148
reach_bid,0.4094831
bid_usd_8,0.37630388
ask_gap_2,0.33820954
ask_gap_1,0.32791662
