slug,series,market_type,n_bottom,n_top,p_up_bottom,p_up_top,diff
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|moneyline|None|25470981761329142071003299852562788083544190067914148771166306417904281917533,moneyline,22,28,0.45454545454545453,0.5,-0.04545454545454547
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|spread|-1.5|113945463493425463734960209629869889966794747569608964858747204047878315373467,spread,69,105,0.4927536231884058,0.5619047619047619,-0.06915113871635609
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|spread|-1.5|53805431552644010469633368816830435938515383740630122503548338570039833884097,spread,48,89,0.5208333333333334,0.5617977528089888,-0.040964419475655434
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|spread|-2.5|36005820265795312057274607753869215028463495866631306522921512028981633337345,spread,86,102,0.3372093023255814,0.38235294117647056,-0.04514363885088918
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|spread|-2.5|48381017591895242506306915436534459485863888989799753164054784209965658303297,spread,49,78,0.6326530612244898,0.6025641025641025,0.0300889586603873
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|moneyline|None|85622791592271942250953122473427279669815910989431958325584121543910931654419,moneyline,35,46,0.6,0.43478260869565216,0.16521739130434782
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-1.5|102834738763332752749054716400067005145162273346288437501461289533946240215291,spread,65,100,0.6153846153846154,0.54,0.07538461538461538
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-1.5|2821702183094599465240948450658678148117333220681347049926815413133525631104,spread,79,89,0.46835443037974683,0.5056179775280899,-0.03726354714834307
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-2.5|20697234093161807982035439408957655536022603099708581834764632351038867704586,spread,67,103,0.5373134328358209,0.5436893203883495,-0.006375887552528603
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-2.5|59223170202977557080348255679910208007081553955951672208135878205752133082960,spread,74,87,0.5135135135135135,0.6666666666666666,-0.15315315315315314
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|moneyline|None|60021460472480471088761563682409939039525439403703278298087857918524835379723,moneyline,28,34,0.6428571428571429,0.47058823529411764,0.17226890756302526
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-1.5|37662107999682795607774357482629710424340887751715878075412969347379728718001,spread,80,81,0.4625,0.5308641975308642,-0.0683641975308642
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-1.5|42579154678607469031654001753263534274663468042297042168195437628416272559772,spread,66,66,0.5303030303030303,0.5,0.030303030303030276
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-2.5|90416059083970112167662458618997769472400748627986844855349202514170820482300,spread,82,89,0.5487804878048781,0.47191011235955055,0.07687037544532754
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-2.5|98440548153995240923836319817612286203351229631739443017215197297624180581781,spread,44,56,0.5,0.5178571428571429,-0.017857142857142905
mlb-col-det-2026-09-13,mlb-col-det-2026-09-13|spread|-1.5|75060390213555618447956601750863584622974912210084518521571215735817801655335,spread,73,54,0.410958904109589,0.5925925925925926,-0.18163368848300354
mlb-col-det-2026-09-13,mlb-col-det-2026-09-13|spread|-2.5|74469239880727245277500109423308086193534064778783679209710369582323116347754,spread,99,68,0.5454545454545454,0.45588235294117646,0.08957219251336895
mlb-cws-stl-2026-09-13,mlb-cws-stl-2026-09-13|moneyline|None|99664281247957700403371761478925862345121388950030744886331989355769104315793,moneyline,27,38,0.5555555555555556,0.5263157894736842,0.0292397660818714
