slug,series,market_type,n_bottom,n_top,p_up_bottom,p_up_top,diff
mlb-bal-tor-2026-09-11,mlb-bal-tor-2026-09-11|spread|-1.5|101639679970287701287610927176716764435402854580900495300069223690038672387941,spread,68,39,0.45588235294117646,0.28205128205128205,0.1738310708898944
mlb-bal-tor-2026-09-11,mlb-bal-tor-2026-09-11|spread|-1.5|53003780852940571726878284761138989987562289768335469106919710865708554416231,spread,107,70,0.4485981308411215,0.5142857142857142,-0.06568758344459275
mlb-bal-tor-2026-09-11,mlb-bal-tor-2026-09-11|spread|-2.5|20914274322561456349912488796730806557480528405820774364391785227258487454437,spread,108,90,0.46296296296296297,0.4444444444444444,0.018518518518518545
mlb-bal-tor-2026-09-11,mlb-bal-tor-2026-09-11|spread|-2.5|53724262561440206783731983595095110142802577158936653560806413830805870730894,spread,38,38,0.3157894736842105,0.4473684210526316,-0.13157894736842107
mlb-bal-tor-2026-09-12,mlb-bal-tor-2026-09-12|spread|-1.5|59433591889901294016138991327200070516440701471437274453551397574740835286906,spread,71,78,0.49295774647887325,0.32051282051282054,0.1724449259660527
mlb-bal-tor-2026-09-12,mlb-bal-tor-2026-09-12|spread|-1.5|81765318186229028351294544139435638757259352767487284692747252682850469936233,spread,33,36,0.48484848484848486,0.5833333333333334,-0.09848484848484851
mlb-bal-tor-2026-09-12,mlb-bal-tor-2026-09-12|spread|-2.5|115404643608623580301642444931390760357845560743075116078322949686761347158497,spread,103,85,0.42718446601941745,0.5294117647058824,-0.1022272986864649
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|moneyline|None|25470981761329142071003299852562788083544190067914148771166306417904281917533,moneyline,22,28,0.45454545454545453,0.5,-0.04545454545454547
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|spread|-1.5|113945463493425463734960209629869889966794747569608964858747204047878315373467,spread,69,105,0.4927536231884058,0.5619047619047619,-0.06915113871635609
mlb-bal-tor-2026-09-13,mlb-bal-tor-2026-09-13|spread|-1.5|53805431552644010469633368816830435938515383740630122503548338570039833884097,spread,48,89,0.5208333333333334,0.5617977528089888,-0.040964419475655434
