game,collapses,real,tradeable
mlb-bal-tor-2026-09-13,2166,610,235
mlb-cin-mil-2026-09-13,1947,540,164
mlb-cle-min-2026-09-13,1754,571,207
mlb-col-det-2026-09-13,802,174,75
mlb-cws-stl-2026-09-13,1595,453,127
mlb-kc-bos-2026-09-13,1880,812,259
mlb-laa-wsh-2026-09-13,1564,614,232
mlb-lad-mia-2026-09-13,1989,604,181
mlb-nym-nyy-2026-09-13,1651,573,229
mlb-phi-atl-2026-09-13,1676,500,150
mlb-pit-chc-2026-09-13,1630,638,244
mlb-sd-sf-2026-09-13,1701,461,148
mlb-sea-oak-2026-09-13,2497,787,274
mlb-tex-ari-2026-09-13,1756,511,139
