feature,gain
spread_ticks_now,92640.66973638535
spread_ticks_max,11171.774767398834
spread_ticks_d20s,10743.860608100891
near_frac_bid_2t_now,8615.420537471771
spread_ticks_std,7985.174825668335
log_bid_usd_within_2t_now,7341.6907386779785
reach_ask_std,6991.493131160736
spread_ticks_d5s,6888.564994812012
log_bid_depth_d5s,6243.665860176086
reach_ask_max,6189.70177936554
reach_bid_std,5506.38262462616
reach_ask_d20s,5307.115733623505
reach_bid_max,5000.810627937317
reach_bid_d20s,4962.716255187988
reach_bid_d5s,4772.624829530716
reach_ask_d5s,4726.6159291267395
reach_ask_now,4518.747446775436
imbalance_l1_max,4489.808898925781
reach_ask_min,4324.925832748413
reach_bid_d1s,4316.435286521912
imbalance_l1_now,4233.702546596527
l1_bid_usd_min,4217.504378795624
reach_bid_min,4184.834646224976
reach_bid_now,4141.433209896088
imbalance_l1_min,4002.3945746421814
