control,lookback_s,n,momentum,reversal
own_market,1,2680,0.35522388059701493,0.6447761194029851
own_market,2,3380,0.363905325443787,0.636094674556213
own_market,5,4489,0.34551124972154157,0.6544887502784584
own_market,10,5388,0.32516703786191536,0.6748329621380846
own_market,30,6338,0.37425055222467657,0.6257494477753234
own_market,60,6648,0.3822202166064982,0.6177797833935018
random_times,1,9995,0.42601300650325163,0.5739869934967483
random_times,2,13674,0.3884744771098435,0.6115255228901565
random_times,5,19117,0.3269864518491395,0.6730135481508606
random_times,10,23172,0.2980321077162092,0.7019678922837909
random_times,30,25934,0.3360067864579317,0.6639932135420683
random_times,60,27328,0.3618266978922717,0.6381733021077283
