feature,attention_weight
rv_5,2.5655909
ask_dist_2,1.6369864
bid_usd_4,1.5054083
rv_15,1.432468
log_bid_usd_within_2t,1.382679
bid_dist_5,1.3440912
bid_dist_4,1.3411878
bid_dist_2,1.3308204
l1_ask_usd,1.2306888
ask_usd_1,1.2066014
d_log_total_depth,1.2007095
ask_usd_9,1.1980261
bid_usd_9,1.1752069
bid_usd_2,1.1412046
ask_usd_4,1.1279151
ask_dist_4,1.12048
ask_dist_5,1.1203358
d_mid,1.1043767
bid_gap_3,1.0864749
levels_ask,1.0725825
bid_usd_1,1.0713773
d_log_ask_depth,1.0523106
hhi_ask,1.03642
bid_dist_1,1.0276254
bid_gap_2,1.0246166
ask_gap_1,1.020273
bid_dist_3,1.0063975
bid_usd_6,0.9883728
d_spread_ticks,0.9789087
ask_dist_3,0.9757401
entropy_bid,0.9721217
ask_usd_8,0.952789
d_imbalance,0.9371894
bid_gap_1,0.9352279
slope_bid,0.93137753
imbalance,0.92407423
ask_usd_6,0.9190241
spread_ticks,0.9134437
d_log_bid_depth,0.9022156
imbalance_l1,0.90022826
ask_usd_2,0.89514166
l1_bid_usd,0.8910269
reach_ask,0.88560116
entropy_ask,0.8834849
ask_dist_1,0.8828109
bid_usd_7,0.87059516
bid_usd_3,0.869485
ask_usd_10,0.8621906
log_bid_depth,0.8388954
ask_usd_3,0.8358266
log_ask_depth,0.83560044
near_frac_bid_2t,0.83202976
ask_gap_3,0.82737476
tod_cos,0.821931
bid_usd_10,0.81212634
ask_usd_7,0.80422086
tod_sin,0.8021629
log_ask_usd_within_2t,0.7989979
hhi_bid,0.79411036
mid,0.77850145
near_frac_ask_2t,0.77736354
ask_usd_5,0.7614999
bid_usd_5,0.73114866
ask_gap_2,0.71723664
reach_bid,0.7171184
bid_usd_8,0.70688593
levels_bid,0.6972118
log_total_depth,0.6499281
slope_ask,0.6259272
