session,slug,n,ticks,best
books_2026-08-30,mlb-mia-wsh-2026-08-30,16,115.6804134754357,72.13009932946443
books_2026-08-28,mlb-phi-laa-2026-08-28,39,93.78936408218101,22.064251512110236
books_2026-09-11,mlb-laa-wsh-2026-09-11,13,89.23214516983988,55.680177694923884
books_2026-08-30,mlb-sd-tb-2026-08-30,22,88.7501284498698,35.56790934488296
books_2026-08-28,mlb-col-atl-2026-08-28,31,84.77900310485069,9.618124490827322
books_2026-08-28,mlb-bal-oak-2026-08-28,22,81.9551977989746,34.57225119957328
books_2026-08-28,mlb-cin-chc-2026-08-28,29,75.2255140890331,11.266626740038397
books_2026-09-12,mlb-laa-wsh-2026-09-12,12,59.63484771356406,20.05777974317968
books_2026-08-30,mlb-col-atl-2026-08-30,16,48.9236223513335,12.615622359514237
books_2026-08-28,mlb-ari-sf-2026-08-28,15,48.52357096045381,18.826250700950624
books_2026-09-13,mlb-sea-oak-2026-09-13,24,47.035758395113135,21.79924896840751
books_2026-09-11,mlb-kc-bos-2026-09-11,14,45.538353573441555,15.820501677513125
books_2026-09-13,mlb-kc-bos-2026-09-13,13,45.290999434424954,14.355625260472298
books_2026-09-11,mlb-col-det-2026-09-11,14,43.29999631829562,6.621242741346364
books_2026-08-28,mlb-tex-mil-2026-08-28,17,42.65810746651147,15.733004854440697
books_2026-08-28,mlb-kc-cle-2026-08-28,18,42.12341998931709,9.051252280473712
books_2026-08-28,mlb-lad-det-2026-08-28,15,41.6479920741618,14.881248497962957
books_2026-09-12,mlb-cws-stl-2026-09-12,22,40.8274909833819,6.083998790740967
books_2026-09-11,mlb-tex-ari-2026-09-11,6,40.456884221136576,26.014002959489822
books_2026-09-13,mlb-phi-atl-2026-09-13,12,39.82773759400847,6.110621369183064
books_2026-08-30,mlb-sea-tor-2026-08-30,12,39.284566882754575,9.951123200774195
books_2026-09-12,mlb-lad-mia-2026-09-12,14,37.977590965244644,15.70000069141388
books_2026-08-28,mlb-cws-min-2026-08-28,19,37.40753564190868,15.68500348865986
books_2026-09-10,mlb-tex-sea-2026-09-10,23,33.86099210715406,6.772623059746399
books_2026-09-11,mlb-sd-sf-2026-09-11,26,33.24050710004403,9.624398425197604
books_2026-08-30,mlb-cin-chc-2026-08-30,4,32.82887515614928,29.364250981256365
books_2026-08-28,mlb-mia-wsh-2026-08-28,16,32.6135060911775,14.453124359250072
books_2026-09-12,mlb-sd-sf-2026-09-12,15,31.972601151961175,9.682983910934926
books_2026-09-11,mlb-phi-atl-2026-09-11,13,31.120046388622562,5.5724979633092895
books_2026-08-28,mlb-pit-stl-2026-08-28,13,30.75407381866039,10.980247707873588
books_2026-09-13,mlb-laa-wsh-2026-09-13,15,30.465907315166625,9.340622837841519
books_2026-09-11,mlb-nym-nyy-2026-09-11,20,29.010104810061488,10.655121032476426
books_2026-09-13,mlb-sd-sf-2026-09-13,21,27.913580383071974,3.8431250429153465
books_2026-08-28,mlb-sd-tb-2026-08-28,14,26.02074206338453,4.660619806051262
books_2026-09-12,mlb-bal-tor-2026-09-12,8,25.33724940554798,14.932125579476356
books_2026-09-13,mlb-pit-chc-2026-09-13,9,24.060003267377656,7.818630233526235
books_2026-09-12,mlb-tex-ari-2026-09-12,16,23.648537981336172,5.519899209146502
books_2026-09-10,mlb-tb-atl-2026-09-10,8,23.563776241714365,10.503250101089478
books_2026-09-11,mlb-sea-oak-2026-09-11,9,23.246738507717872,9.65924746704102
books_2026-09-10,mlb-col-nyy-2026-09-10,12,22.45948932196203,13.573249632298946
books_2026-09-11,mlb-bal-tor-2026-09-11,16,20.983162993078313,4.993250489711762
books_2026-09-13,mlb-tex-ari-2026-09-13,14,20.207660150139386,6.591625224590302
books_2026-09-11,mlb-cle-min-2026-09-11,3,19.8049987179041,8.731246805191041
books_2026-08-28,mlb-sea-tor-2026-08-28,12,19.19312954985873,5.956248027086261
books_2026-09-12,mlb-pit-chc-2026-09-12,8,19.14563055530191,6.582625119566917
books_2026-08-30,mlb-hou-nym-2026-08-30,10,19.14033318983796,5.479248007059098
books_2026-08-30,mlb-pit-stl-2026-08-30,8,19.07975426459315,5.688621975898744
books_2026-09-13,mlb-cin-mil-2026-09-13,10,18.90387443009022,7.596244076490407
