entry_bucket,is_jump,n,mean_gross_peak,mean_cost_peak,mean_fee,peak_ev,best_exit_ev,share_profitable_peak
<=1,False,51250,1.7762078310090412,3.2111951831606103,1.8726924981460429,-3.307679850297612,3.121537869459032,0.005541463414634146
<=1,True,22534,6.79203229995592,9.669058117852359,2.0433541261549486,-4.920379944051386,5.5332055797054895,0.03323866157805982
2,False,26753,3.021541528948182,5.7133780977694055,1.6434828762664864,-4.33531944508771,1.7414739008366866,0.0032893507270212686
2,True,14949,8.786875426317456,13.382755024969295,1.864027393542643,-6.4599069921944805,3.797843355649462,0.0134457154324704
3,False,15548,3.2166484836081644,6.604827183807436,1.4713728335552243,-4.859551533754496,1.112980606928857,0.002444044250064317
3,True,9551,9.207988872200893,14.127494894688123,1.7130936540126354,-6.632599676499865,2.758926773575658,0.00879489058737305
4-5,False,12794,3.3805612530148745,7.578286988509282,1.2239108494703825,-5.42163658496479,-0.1675916418690409,0.004142566828200719
4-5,True,11668,7.752734188735613,12.201774451227136,1.6737221086786105,-6.122762371170133,1.9390852394211295,0.007713404182379157
6-10,False,13447,4.432419942873518,10.688507098783532,1.2678624748454448,-7.523949630755458,-1.3348167394129309,0.0038670335390793486
6-10,True,23354,6.982362925588949,12.29909687483768,1.6381232147013258,-6.954857163950056,0.4406026936607489,0.004153464074676715
11-20,False,8469,6.196339652529485,15.175357599634392,1.7006392006752462,-10.679657147780153,-2.331217204109554,0.005313496280552604
11-20,True,25909,7.253614645469999,14.84641670585576,1.7759842581799645,-9.368786318565725,-1.806602628236687,0.0030877301323864294
>20,False,8363,12.249157072636132,32.01207780135183,2.0275983106498763,-21.790519039365577,-8.8185579383378,0.003108932201363147
>20,True,28659,15.091341322027228,28.713551389389156,2.0141359308366975,-15.636345998198625,-5.8960562166561665,0.002058690114798144
