top_frac,n,precision,accuracy,ev
0.0002,7,0.2857142857142857,0.5,-1.8253208429813377
0.0002,7,0.2857142857142857,0.55,-1.5253209204673759
0.0002,7,0.2857142857142857,0.6,-1.225320997953414
0.0002,7,0.2857142857142857,0.625,-1.075321021795272
0.0002,7,0.2857142857142857,0.65,-0.9253210456371299
0.0002,7,0.2857142857142857,0.675,-0.7753211290836326
0.0002,7,0.2857142857142857,0.7,-0.6253211529254905
0.0002,7,0.2857142857142857,0.75,-0.32532120060920633
0.0002,7,0.2857142857142857,0.8,-0.02532124829292215
0.0002,7,0.2857142857142857,0.9,0.5746785371303567
0.0002,7,0.2857142857142857,1.0,1.174678441762925
0.0005,18,0.2222222222222222,0.5,-2.028182820143814
0.0005,18,0.2222222222222222,0.55,-1.7399474836016844
0.0005,18,0.2222222222222222,0.6,-1.4517121470595549
0.0005,18,0.2222222222222222,0.625,-1.3075944936896513
0.0005,18,0.2222222222222222,0.65,-1.163476780715103
0.0005,18,0.2222222222222222,0.675,-1.0193591869498442
0.0005,18,0.2222222222222222,0.7,-0.8752414739752958
0.0005,18,0.2222222222222222,0.75,-0.5870061672354887
0.0005,18,0.2222222222222222,0.8,-0.298770741286392
0.0005,18,0.2222222222222222,0.9,0.27769987219322223
0.0005,18,0.2222222222222222,1.0,0.8541704856728365
0.001,36,0.2777777777777778,0.5,-2.0033571944424424
0.001,36,0.2777777777777778,0.55,-1.6591147110649858
0.001,36,0.2777777777777778,0.6,-1.314872227687529
0.001,36,0.2777777777777778,0.625,-1.142751000899962
0.001,36,0.2777777777777778,0.65,-0.97062971450775
0.001,36,0.2777777777777778,0.675,-0.7985085473248277
0.001,36,0.2777777777777778,0.7,-0.6263872609326158
0.001,36,0.2777777777777778,0.75,-0.2821448073574815
0.001,36,0.2777777777777778,0.8,0.06209776542694234
0.001,36,0.2777777777777778,0.9,0.7505826725772109
0.001,36,0.2777777777777778,1.0,1.4390675797274795
0.002,73,0.3424657534246575,0.5,-2.1270517058707785
0.002,73,0.3424657534246575,0.55,-1.7840213425494742
0.002,73,0.3424657534246575,0.6,-1.4409909792281699
0.002,73,0.3424657534246575,0.625,-1.269475812468679
0.002,73,0.3424657534246575,0.65,-1.0979605861045432
0.002,73,0.3424657534246575,0.675,-0.926445478949697
0.002,73,0.3424657534246575,0.7,-0.7549302525855612
0.002,73,0.3424657534246575,0.75,-0.4118999190665793
0.002,73,0.3424657534246575,0.8,-0.06886946633830782
0.002,73,0.3424657534246575,0.9,0.617191200699656
0.002,73,0.3424657534246575,1.0,1.30325186773762
0.005,182,0.21428571428571427,0.5,-2.591681497310629
0.005,182,0.21428571428571427,0.55,-2.308982031558981
0.005,182,0.21428571428571427,0.6,-2.026282565807333
0.005,182,0.21428571428571427,0.625,-1.8849328329315092
0.005,182,0.21428571428571427,0.65,-1.7435830404510404
0.005,182,0.21428571428571427,0.675,-1.6022333671798612
0.005,182,0.21428571428571427,0.7,-1.4608836343040372
0.005,182,0.21428571428571427,0.75,-1.1781841685523893
0.005,182,0.21428571428571427,0.8,-0.8954845835914518
0.005,182,0.21428571428571427,0.9,-0.33008577129744543
0.005,182,0.21428571428571427,1.0,0.23531316020585047
0.01,364,0.15934065934065933,0.5,-3.025620604262744
0.01,364,0.15934065934065933,0.55,-2.7360792405466183
0.01,364,0.15934065934065933,0.6,-2.446537876830493
0.01,364,0.15934065934065933,0.625,-2.30176719497243
0.01,364,0.15934065934065933,0.65,-2.1569964535097226
0.01,364,0.15934065934065933,0.675,-2.0122258908609494
0.01,364,0.15934065934065933,0.7,-1.8674551493982419
0.01,364,0.15934065934065933,0.75,-1.5779137856821164
0.01,364,0.15934065934065933,0.8,-1.2883723027567013
0.01,364,0.15934065934065933,0.9,-0.7092896945337399
0.01,364,0.15934065934065933,1.0,-0.13020696710148894
0.02,728,0.13598901098901098,0.5,-3.8108794300337525
0.02,728,0.13598901098901098,0.55,-3.486818304516861
0.02,728,0.13598901098901098,0.6,-3.1627571789999696
0.02,728,0.13598901098901098,0.625,-3.0007266013403626
0.02,728,0.13598901098901098,0.65,-2.8386960236807557
0.02,728,0.13598901098901098,0.675,-2.6766655056257935
0.02,728,0.13598901098901098,0.7,-2.5146349279661866
0.02,728,0.13598901098901098,0.75,-2.1905737726469727
0.02,728,0.13598901098901098,0.8,-1.8665126173277589
0.02,728,0.13598901098901098,0.9,-1.2183904258986207
0.02,728,0.13598901098901098,1.0,-0.5702681152601929
0.05,1820,0.07417582417582418,0.5,-5.9254563307517
0.05,1820,0.07417582417582418,0.55,-5.5823854958765935
0.05,1820,0.07417582417582418,0.6,-5.239314661001487
0.05,1820,0.07417582417582418,0.625,-5.067779228662772
0.05,1820,0.07417582417582418,0.65,-4.896243736719413
0.05,1820,0.07417582417582418,0.675,-4.724708363985343
0.05,1820,0.07417582417582418,0.7,-4.553172991251273
0.05,1820,0.07417582417582418,0.75,-4.210102126573844
0.05,1820,0.07417582417582418,0.8,-3.867031142687125
0.05,1820,0.07417582417582418,0.9,-3.180889651750846
0.05,1820,0.07417582417582418,1.0,-2.4947479223959874
0.1,3639,0.04286892003297609,0.5,-7.8514498225533
0.1,3639,0.04286892003297609,0.55,-7.4897174886547555
0.1,3639,0.04286892003297609,0.6,-7.127985154756211
0.1,3639,0.04286892003297609,0.625,-6.947118972905778
0.1,3639,0.04286892003297609,0.65,-6.7662527314507
0.1,3639,0.04286892003297609,0.675,-6.585386609204911
0.1,3639,0.04286892003297609,0.7,-6.404520486959123
0.1,3639,0.04286892003297609,0.75,-6.042788123258256
0.1,3639,0.04286892003297609,0.8,-5.6810556403481
0.1,3639,0.04286892003297609,0.9,-4.957591151364945
0.1,3639,0.04286892003297609,1.0,-4.234126423963212
0.25,9098,0.019784568036931193,0.5,-10.414690836407468
0.25,9098,0.019784568036931193,0.55,-10.018480672575757
0.25,9098,0.019784568036931193,0.6,-9.622270508744046
0.25,9098,0.019784568036931193,0.625,-9.42416541192703
0.25,9098,0.019784568036931193,0.65,-9.226060255505368
0.25,9098,0.019784568036931193,0.675,-9.027955277897641
0.25,9098,0.019784568036931193,0.7,-8.829850181080625
0.25,9098,0.019784568036931193,0.75,-8.433639987446591
0.25,9098,0.019784568036931193,0.8,-8.037429674603269
0.25,9098,0.019784568036931193,0.9,-7.245009525753781
0.25,9098,0.019784568036931193,1.0,-6.452589138485715
1.0,36390,0.0059082165430063205,0.5,-15.080949587406526
1.0,36390,0.0059082165430063205,0.55,-14.524743182243714
1.0,36390,0.0059082165430063205,0.6,-13.968536777080903
1.0,36390,0.0059082165430063205,0.625,-13.690433544697175
1.0,36390,0.0059082165430063205,0.65,-13.412330312313447
1.0,36390,0.0059082165430063205,0.675,-13.134227199139008
1.0,36390,0.0059082165430063205,0.7,-12.85612396675528
1.0,36390,0.0059082165430063205,0.75,-12.299917501987824
1.0,36390,0.0059082165430063205,0.8,-11.743711037220368
1.0,36390,0.0059082165430063205,0.9,-10.631298346104035
1.0,36390,0.0059082165430063205,1.0,-9.518885416569123
