accuracy,feasible,loosest_top_frac,n_trades,trades_per_session,precision_needed,ev,ci_lo,ci_hi,ticks_per_session
0.5,False,,,,,,,,
0.55,False,,,,,,,,
0.6,False,,,,,,,,
0.625,False,,,,,,,,
0.65,False,,,,,,,,
0.675,False,,,,,,,,
0.7,False,,,,,,,,
0.75,False,,,,,,,,
0.8,True,0.001,36.0,18.0,0.2777777777777778,0.06209776542694234,-0.417784713269439,0.8048105999727285,1.1177597776849622
0.9,True,0.002,73.0,36.5,0.3424657534246575,0.617191200699656,0.10191211496196038,1.836077634094625,22.527478825537447
1.0,True,0.005,182.0,91.0,0.21428571428571427,0.23531316020585047,-0.1596881892595853,0.7616285468411771,21.413497578732393
