precision,accuracy,ev_per_trade,max_trades,max_total
0.0122,0.5,-2.132574584324253,148032,-315690.958958164
0.0122,0.55,-2.0643278060145485,148032,-305588.19816903886
0.0122,0.6,-1.9960810277048446,148032,-295485.4373799138
0.0122,0.65,-1.9278342493951404,148032,-285382.67659078876
0.0122,0.7,-1.859587471085437,148032,-275279.9158016638
0.0122,0.75,-1.7913406927757327,148032,-265177.1550125388
0.0122,0.8,-1.7230939144660282,148032,-255074.39422341363
0.0122,0.85,-1.6548471361563244,148032,-244971.63343428864
0.0122,0.9,-1.5866003578466206,148032,-234868.87264516362
0.0122,0.95,-1.5183535795369167,148032,-224766.11185603862
0.0122,1.0,-1.4501068012272122,148032,-214663.3510669135
0.05,0.5,-2.0645488819085633,36120,-74571.50561453731
0.05,0.55,-1.994413806622281,36120,-72038.22669519679
0.05,0.6,-1.924278731335999,36120,-69504.94777585629
0.05,0.65,-1.854143656049717,36120,-66971.66885651578
0.05,0.7,-1.7840085807634354,36120,-64438.389937175285
0.05,0.75,-1.7138735054771532,36120,-61905.11101783477
0.05,0.8,-1.643738430190871,36120,-59371.83209849426
0.05,0.85,-1.5736033549045891,36120,-56838.55317915376
0.05,0.9,-1.5034682796183072,36120,-54305.27425981325
0.05,0.95,-1.4333332043320255,36120,-51771.995340472764
0.05,1.0,-1.3631981290457436,36120,-49238.71642113226
0.1,0.5,-1.974567794057122,18060,-35660.69436067162
0.1,0.55,-1.9019349714473242,18060,-34348.945584338675
0.1,0.6,-1.8293021488375263,18060,-33037.19680800573
0.1,0.65,-1.7566693262277284,18060,-31725.448031672775
0.1,0.7,-1.6840365036179312,18060,-30413.699255339838
0.1,0.75,-1.6114036810081331,18060,-29101.950479006886
0.1,0.8,-1.538770858398335,18060,-27790.20170267393
0.1,0.85,-1.4661380357885374,18060,-26478.452926340986
0.1,0.9,-1.39350521317874,18060,-25166.704150008045
0.1,0.95,-1.3208723905689423,18060,-23854.9553736751
0.1,1.0,-1.2482395679591443,18060,-22543.206597342145
0.2,0.5,-1.7946056183542396,9030,-16205.288733738784
0.2,0.55,-1.71697730109741,9030,-15504.305028909614
0.2,0.6,-1.6393489838405806,9030,-14803.321324080443
0.2,0.65,-1.5617206665837513,9030,-14102.337619251275
0.2,0.7,-1.4840923493269222,9030,-13401.353914422109
0.2,0.75,-1.4064640320700927,9030,-12700.370209592937
0.2,0.8,-1.328835714813263,9030,-11999.386504763765
0.2,0.85,-1.251207397556434,9030,-11298.402799934598
0.2,0.9,-1.1735790802996047,9030,-10597.41909510543
0.2,0.95,-1.0959507630427754,9030,-9896.435390276261
0.2,1.0,-1.0183224457859457,9030,-9195.45168544709
0.3,0.5,-1.6146434426513567,6020,-9720.153524761168
0.3,0.55,-1.5320196307474958,6020,-9222.758177099924
0.3,0.6,-1.4493958188436349,6020,-8725.362829438682
0.3,0.65,-1.3667720069397737,6020,-8227.967481777438
