feature,gain
spread_ticks,236725.8778705597
reach_ask,124435.54941082001
book_age_ms,77739.27566623688
reach_bid,72770.18559074402
mid,65297.263518333435
rv_150,63002.156188964844
stale,60058.305362701416
conc_ask,57534.774587631226
log_bid_usd,49211.36461830139
log_ask_usd,41393.56541156769
imb3,40933.56225681305
imb10,40392.41700363159
conc_bid,40078.43121147156
ofi_25,38504.38181400299
imb5,34652.18109226227
microprice_dev,31441.18455886841
imb1,29133.983828544617
rv_25,28603.132835388184
ofi_5,24818.14591693878
dmid_25,23974.92221927643
dmid_5,11091.109697341919
rv_5,10767.017042160034
