top_frac,n_selected,n_payers,precision,recall,ev_exit_at_peak,ev_exit_3s_after,total_ticks_at_peak
0.001,36,10,0.2777777777777778,0.04608294930875576,-0.8831523964346504,0.30420067322079364,-31.793486271647414
0.002,73,25,0.3424657534246575,0.1152073732718894,-0.7421295153926245,0.834154519768331,-54.17545462366159
0.005,182,39,0.21428571428571427,0.17972350230414746,-1.3494350641453492,-0.10402979363510495,-245.59718167445357
0.01,365,58,0.1589041095890411,0.2672811059907834,-1.6981165951488562,-0.8651930057601669,-619.8125572293325
0.02,729,99,0.13580246913580246,0.45622119815668205,-2.1999873915194037,-1.3232193922804365,-1603.7908084176452
0.05,1823,135,0.07405375754251234,0.6221198156682027,-4.166297188348412,-3.5856148314742504,-7595.159774359155
0.1,3645,156,0.04279835390946502,0.7188940092165899,-5.882600270567381,-5.6916285263291995,-21442.077986218104
0.25,9113,181,0.019861735981564797,0.8341013824884793,-7.978779686045707,-7.808822860693846,-72710.61927893452
0.5,18226,204,0.011192801492373533,0.9400921658986175,-9.043912759208878,-8.724306092738809,-164834.353949341
1.0,36451,217,0.005953197443142849,1.0,-10.256022658426383,-9.409937133976785,-373842.2819223001
