feature,tau,n_jump,n_ctrl,median_jump,median_ctrl,cliffs_delta
spread_ticks,-5,270,255,2.0000040531158447,2.0000011920928955,0.024894698620188782
spread_ticks,-4,267,254,2.0000011920928955,1.9999980926513672,0.08454982453036064
spread_ticks,-3,265,261,2.0000011920928955,1.9999996423721313,0.057355598930094676
spread_ticks,-2,267,267,2.0000011920928955,2.0000011920928955,-0.01329798426124651
spread_ticks,-1,271,267,3.000000238418579,1.9999996423721313,0.11197258039996139
spread_ticks,0,271,271,8.000001907348633,8.000004768371582,0.08807069620511698
log_total_depth,-5,270,255,8.582366943359375,8.894000053405762,-0.04732026143790846
log_total_depth,-4,267,254,8.685023307800293,8.912862300872803,-0.04488483883334804
log_total_depth,-3,265,261,8.551356315612793,8.830435752868652,-0.04275283741776914
log_total_depth,-2,267,267,8.541295051574707,8.945511817932129,-0.10235800754674629
log_total_depth,-1,271,267,8.40938663482666,8.87806224822998,-0.11768039028704891
log_total_depth,0,271,271,7.911678314208984,7.748715400695801,-0.012431747933715487
log_bid_depth,-5,270,255,7.198135614395142,7.6273884773254395,-0.08965867828612928
log_bid_depth,-4,267,254,7.573854446411133,7.7899909019470215,-0.08285410952844374
log_bid_depth,-3,265,261,7.103314399719238,7.734841823577881,-0.07265235306874862
log_bid_depth,-2,267,267,7.26125955581665,7.589625358581543,-0.08628259619296108
log_bid_depth,-1,271,267,6.610006332397461,7.541815280914307,-0.16661829539643713
log_bid_depth,0,271,271,5.954644680023193,6.236682415008545,-0.0760746721858363
log_ask_depth,-5,270,255,8.198893070220947,8.298527717590332,-0.022222222222222254
log_ask_depth,-4,267,254,8.115655899047852,8.375713348388672,-0.02447727741897432
log_ask_depth,-3,265,261,8.036477088928223,8.305861473083496,-0.033933347791513024
log_ask_depth,-2,267,267,8.029593467712402,8.480846405029297,-0.105023215362819
log_ask_depth,-1,271,267,7.962897777557373,8.309120178222656,-0.09722625316140798
log_ask_depth,0,271,271,7.61903715133667,7.370925426483154,0.012458980678367704
imbalance,-5,270,255,-0.3274187743663788,-0.21439184248447418,-0.11349310094408138
imbalance,-4,267,254,-0.3187417685985565,-0.17866051197052002,-0.11253649473591087
imbalance,-3,265,261,-0.29232317209243774,-0.21947267651557922,-0.0776259668907685
imbalance,-2,267,267,-0.2829325795173645,-0.3212645649909973,0.010506529759149341
imbalance,-1,271,267,-0.4003213942050934,-0.26359084248542786,-0.09786198985585359
imbalance,0,271,271,-0.7259092330932617,-0.5750145316123962,-0.08969104451192111
imbalance_l1,-5,270,255,-0.13454175740480423,-0.11966992914676666,-0.051851851851851816
imbalance_l1,-4,267,254,-0.09198962897062302,-0.008225980680435896,-0.13842932554778964
imbalance_l1,-3,265,261,-0.061224550008773804,-0.10149534791707993,0.02877177763319594
imbalance_l1,-2,267,267,-0.039925716817379,-0.11999906599521637,0.11101291924420309
imbalance_l1,-1,271,267,-0.08834942430257797,-0.18750004470348358,0.0893486462954518
imbalance_l1,0,271,271,-0.5988538861274719,-0.30068761110305786,-0.09679879086613741
hhi_bid,-5,270,255,0.541890025138855,0.47717273235321045,0.10872912127814094
hhi_bid,-4,267,254,0.5294656157493591,0.5016093850135803,0.02881240968474441
hhi_bid,-3,265,261,0.5296742916107178,0.4987756609916687,0.06363044892648007
hhi_bid,-2,267,267,0.5113435387611389,0.5134395360946655,0.015486260152337561
hhi_bid,-1,271,267,0.5000544190406799,0.49635782837867737,-0.004367234683582799
hhi_bid,0,271,271,0.508561909198761,0.4590338468551636,0.06836780544927223
hhi_ask,-5,270,255,0.3827141970396042,0.40489447116851807,-0.06967320261437904
hhi_ask,-4,267,254,0.4083942770957947,0.3920532912015915,0.01856439293402934
hhi_ask,-3,265,261,0.391832172870636,0.40267759561538696,0.03711414732885121
hhi_ask,-2,267,267,0.40173134207725525,0.39911678433418274,0.02113930620432325
hhi_ask,-1,271,267,0.41482967138290405,0.3895605802536011,0.09976919993919031
hhi_ask,0,271,271,0.4187319278717041,0.3533451557159424,0.13693985648343565
entropy_bid,-5,270,255,0.84897580742836,0.9804250001907349,-0.11099491648511262
entropy_bid,-4,267,254,0.8869161605834961,0.9304464757442474,-0.046123448052139526
entropy_bid,-3,265,261,0.8928156495094299,0.9414093494415283,-0.06553892864888311
entropy_bid,-2,267,267,0.88930743932724,0.8772900700569153,-0.002665207816072601
entropy_bid,-1,271,267,0.9390391707420349,0.9402879476547241,0.0011885512113547492
entropy_bid,0,271,271,0.96534264087677,1.0225826501846313,-0.050530357702101014
entropy_ask,-5,270,255,1.218745231628418,1.1670310497283936,0.04745098039215678
entropy_ask,-4,267,254,1.166585087776184,1.2101932168006897,-0.02968238520746702
entropy_ask,-3,265,261,1.2043519020080566,1.2124075889587402,-0.026559676136774346
entropy_ask,-2,267,267,1.1977604627609253,1.1874574422836304,-0.0009678912595211253
entropy_ask,-1,271,267,1.1701960563659668,1.2215098142623901,-0.06566054424589185
entropy_ask,0,271,271,1.1517791748046875,1.2794653177261353,-0.1274628613444806
slope_bid,-5,270,255,12.931589603424072,27.410484313964844,-0.09077705156136529
slope_bid,-4,267,254,23.295101165771484,28.399425506591797,-0.04099206700286062
slope_bid,-3,265,261,13.889998435974121,28.747526168823242,-0.06909564085881592
slope_bid,-2,267,267,14.951004028320312,24.014461517333984,-0.06556411227538606
slope_bid,-1,271,267,10.258136749267578,25.393718719482422,-0.1182746658927264
slope_bid,0,271,271,7.478672027587891,8.58232593536377,-0.09234623711550771
slope_ask,-5,270,255,34.31386947631836,48.453033447265625,-0.06130718954248371
slope_ask,-4,267,254,30.523265838623047,62.438032150268555,-0.11255124008375361
slope_ask,-3,265,261,35.30083084106445,53.821868896484375,-0.10353502494036004
slope_ask,-2,267,267,32.99915313720703,54.17914962768555,-0.12853315378249097
slope_ask,-1,271,267,31.000864028930664,52.34067153930664,-0.11298146689332067
slope_ask,0,271,271,62.298065185546875,52.66939926147461,0.03737694203510311
l1_bid_usd,-5,270,255,179.9999542236328,281.142333984375,-0.0797530864197531
l1_bid_usd,-4,267,254,250.00003051757812,299.99725341796875,-0.06362617594149045
l1_bid_usd,-3,265,261,199.99822998046875,199.9999542236328,-0.01512325598207187
l1_bid_usd,-2,267,267,283.2900085449219,180.81004333496094,0.02665207816072601
l1_bid_usd,-1,271,267,128.63999938964844,199.99803161621094,-0.06027060270602702
l1_bid_usd,0,271,271,23.46190071105957,27.000001907348633,-0.037662885853950834
l1_ask_usd,-5,270,255,171.05079650878906,179.9999542236328,-0.02062454611474218
l1_ask_usd,-4,267,254,261.8199768066406,151.94497680664062,0.0818956619186646
l1_ask_usd,-3,265,261,178.8930206298828,270.0000305175781,-0.051832574278898313
l1_ask_usd,-2,267,267,163.68002319335938,240.00001525878906,-0.0892283522001992
l1_ask_usd,-1,271,267,120.00001525878906,267.5400085449219,-0.1390052102768219
l1_ask_usd,0,271,271,90.0,81.0,0.055881592026252314
log_bid_usd_within_2t,-5,270,255,5.368204355239868,5.936612129211426,-0.059389978213507666
log_bid_usd_within_2t,-4,267,254,6.293419361114502,6.413838863372803,-0.06868383025155567
log_bid_usd_within_2t,-3,265,261,5.5792765617370605,5.755742073059082,-0.0411190631099545
log_bid_usd_within_2t,-2,267,267,5.721949577331543,5.9631452560424805,-0.01872659176029967
log_bid_usd_within_2t,-1,271,267,4.488636493682861,5.827974796295166,-0.1373329463631715
log_bid_usd_within_2t,0,271,271,0.0,0.0,-0.03103171253114745
log_ask_usd_within_2t,-5,270,255,5.501204252243042,5.770912170410156,-0.02155410312273054
log_ask_usd_within_2t,-4,267,254,5.9695258140563965,5.963886976242065,-0.004674275266153494
log_ask_usd_within_2t,-3,265,261,5.559700965881348,6.7105231285095215,-0.06315332899587944
log_ask_usd_within_2t,-2,267,267,5.628663539886475,5.9376115798950195,-0.01965240079114594
log_ask_usd_within_2t,-1,271,267,4.834042072296143,6.002955913543701,-0.15746921514158962
log_ask_usd_within_2t,0,271,271,0.0,0.0,-0.03450388747429911
levels_bid,-5,270,255,9.0,10.0,-0.08339869281045753
levels_bid,-4,267,254,10.0,10.0,-0.07247338464714381
levels_bid,-3,265,261,10.0,10.0,-0.06192438372008968
levels_bid,-2,267,267,9.0,10.0,-0.02934534079591522
levels_bid,-1,271,267,8.0,10.0,-0.10489655458352332
levels_bid,0,271,271,8.0,8.0,-0.04001851826636349
levels_ask,-5,270,255,10.0,10.0,0.021103848946986137
levels_ask,-4,267,254,10.0,10.0,0.0101005632722877
levels_ask,-3,265,261,10.0,10.0,-0.0003469963131641496
levels_ask,-2,267,267,10.0,10.0,0.014630588169282754
levels_ask,-1,271,267,10.0,10.0,-0.0001382036292273403
levels_ask,0,271,271,8.0,9.0,-0.05822360806633897
rv_5,-5,270,255,0.026100748961707977,0.03201563719810161,-0.09244384947196194
rv_5,-4,267,254,0.026692675756439153,0.03409545286578127,-0.12506956665613767
rv_5,-3,265,261,0.026786185787910838,0.03507134766728985,-0.15495657382449834
rv_5,-2,267,267,0.028577379150557924,0.03446014955495674,-0.12832488800763753
rv_5,-1,271,267,0.03489270292826403,0.03259581519215565,-0.04701914206642066
rv_5,0,271,271,0.13057563274370365,0.050867468838864775,0.6843966158292762
rv_15,-5,270,255,0.036280862798572414,0.05354792951607652,-0.257206604194556
rv_15,-4,267,254,0.037218783708069685,0.049959517226507356,-0.245401079975332
rv_15,-3,265,261,0.03664501457866621,0.0497238456538041,-0.24100029949086554
rv_15,-2,267,267,0.03598941893175715,0.04746678849354501,-0.21433502239847246
rv_15,-1,271,267,0.03624322635100657,0.04584631257226193,-0.16959755535055354
rv_15,0,271,271,0.08245922998145447,0.05044326997908495,0.4712443702383793
