feature,tau_s,median_up,median_down,cliffs_up_vs_down,n_up,n_down
l1_imbalance,-15.0,-0.14173083007335663,-0.026788480579853058,-0.05548728871412578,313,117
l1_imbalance,-14.8,-0.14531876146793365,-0.026581140235066414,-0.08096447393571993,313,117
l1_imbalance,-14.6,-0.1815984845161438,-0.043042104691267014,-0.10351983834411949,313,117
l1_imbalance,-14.4,-0.1428571492433548,-0.03391279652714729,-0.09226946287649163,313,117
l1_imbalance,-14.2,-0.14887569844722748,-0.026581140235066414,-0.08833729281013625,313,117
l1_imbalance,-14.0,-0.14039339125156403,-0.026581140235066414,-0.08156522214030204,313,117
l1_imbalance,-13.8,-0.12370486557483673,-0.0350317656993866,-0.06643729007946264,313,117
l1_imbalance,-13.6,-0.13636353611946106,-0.0350317656993866,-0.08025449878485025,313,117
l1_imbalance,-13.4,-0.12499992549419403,-0.019999969750642776,-0.10401135960241392,313,117
l1_imbalance,-13.2,-0.1246817409992218,-0.026581140235066414,-0.08183828950602112,313,117
l1_imbalance,-13.0,-0.11578946560621262,-0.026581140235066414,-0.06468965893886025,313,117
l1_imbalance,-12.8,-0.12016282230615616,-0.06064428389072418,-0.03271347041315087,313,117
l1_imbalance,-12.6,-0.12370486557483673,-0.07198725640773773,-0.008738155703011952,313,117
l1_imbalance,-12.4,-0.12016282230615616,-0.06678495556116104,-0.018787034761475696,313,117
l1_imbalance,-12.2,-0.10257849097251892,-0.06678495556116104,0.02534065153873466,313,117
l1_imbalance,-12.0,-0.08781443536281586,-0.06666667014360428,0.015100625324267591,313,117
l1_imbalance,-11.8,-0.05882355198264122,-0.04477616399526596,-0.012806859452226815,313,117
l1_imbalance,-11.6,-0.05223662033677101,-0.03998451307415962,0.013298380710521363,313,117
l1_imbalance,-11.4,-0.06293700635433197,-0.05084748938679695,0.017012096884301275,313,117
l1_imbalance,-11.2,-0.07206741720438004,-0.05084748938679695,0.004177930695502541,313,117
l1_imbalance,-11.0,-0.11279195547103882,-0.051428526639938354,0.0012834166188799845,313,117
l1_imbalance,-10.8,-0.11279195547103882,-0.05084748938679695,-0.007017831298981481,313,117
l1_imbalance,-10.6,-0.11279195547103882,-0.04477616399526596,-0.01581060047513727,313,117
l1_imbalance,-10.4,-0.10875332355499268,-0.018181925639510155,-0.02007045138035557,313,117
l1_imbalance,-10.2,-0.14039339125156403,-0.010988910682499409,-0.06326970863712078,313,117
l1_imbalance,-10.0,-0.1246817409992218,-0.013513410463929176,-0.06381584336855906,313,117
l1_imbalance,-9.8,-0.1246817409992218,0.010190804488956928,-0.06900412331722239,313,117
l1_imbalance,-9.6,-0.1351349651813507,-0.010988910682499409,-0.07632232871849487,313,117
l1_imbalance,-9.4,-0.18044179677963257,-0.021516071632504463,-0.0810737008820076,313,117
l1_imbalance,-9.2,-0.1428571492433548,-0.021516071632504463,-0.09041260478960156,313,117
l1_imbalance,-9.0,-0.15553082525730133,-0.013513410463929176,-0.09931460091204503,313,117
l1_imbalance,-8.8,-0.1612902730703354,-0.013513410463929176,-0.09216023593020395,313,117
l1_imbalance,-8.6,-0.1485653966665268,-0.021516071632504463,-0.09871385270746291,313,117
l1_imbalance,-8.4,-0.14039339125156403,-0.019538218155503273,-0.09784003713716172,313,117
l1_imbalance,-8.2,-0.13636353611946106,-0.019538218155503273,-0.0932525053930805,313,117
l1_imbalance,-8.0,-0.13636353611946106,-0.019538218155503273,-0.08538816526036974,313,117
l1_imbalance,-7.8,-0.15151521563529968,-0.0430106557905674,-0.08025449878485025,313,117
l1_imbalance,-7.6,-0.1612902730703354,-0.04477616399526596,-0.06949564457551682,313,117
l1_imbalance,-7.4,-0.17272736132144928,-0.021516071632504463,-0.1002976434286339,313,117
l1_imbalance,-7.2,-0.17851360142230988,-0.06666667759418488,-0.0791622293219737,313,117
l1_imbalance,-7.0,-0.1753564178943634,-0.06666667759418488,-0.09068567215532075,313,117
l1_imbalance,-6.8,-0.17851360142230988,-0.06100796163082123,-0.07626771524535103,313,117
l1_imbalance,-6.6,-0.19402976334095,-0.0728476494550705,-0.08336746675404827,313,117
l1_imbalance,-6.4,-0.19047625362873077,-0.0728476494550705,-0.07648616913792627,313,117
l1_imbalance,-6.2,-0.17681673169136047,-0.08661369979381561,-0.028917834029655087,313,117
l1_imbalance,-6.0,-0.18644073605537415,-0.08569859713315964,-0.05554190218726962,313,117
l1_imbalance,-5.8,-0.17681673169136047,-0.08527135103940964,-0.06326970863712078,313,117
l1_imbalance,-5.6,-0.19047625362873077,-0.1428571492433548,-0.029327435078233766,313,117
l1_imbalance,-5.4,-0.19047625362873077,-0.1227940171957016,-0.04139701264301898,313,117
l1_imbalance,-5.2,-0.19047625362873077,-0.15789474546909332,0.002075311979465422,313,117
l1_imbalance,-5.0,-0.19047625362873077,-0.14285719394683838,-0.040960104857868385,313,117
l1_imbalance,-4.8,-0.19371728599071503,-0.1428571492433548,-0.04352693809562824,313,117
l1_imbalance,-4.6,-0.19266055524349213,-0.14285719394683838,0.0012561098823080652,313,117
l1_imbalance,-4.4,-0.23529407382011414,-0.18765674531459808,-0.017749378771742985,313,117
l1_imbalance,-4.2,-0.20639707148075104,-0.1428571492433548,-0.036044892274924245,313,117
l1_imbalance,-4.0,-0.1619023084640503,-0.18765674531459808,0.029272821605089927,313,117
l1_imbalance,-3.8,-0.19266055524349213,-0.18765674531459808,0.011031921575052506,313,117
l1_imbalance,-3.6,-0.13636353611946106,-0.18765674531459808,0.06408891073427814,313,117
l1_imbalance,-3.4,-0.1428571492433548,-0.19308358430862427,0.049780180770596205,313,117
l1_imbalance,-3.2,-0.1389368623495102,-0.18765674531459808,0.05193741295977716,313,117
l1_imbalance,-3.0,-0.18383106589317322,-0.1805213838815689,0.016274814996859677,313,117
l1_imbalance,-2.8,-0.1896970570087433,-0.1805213838815689,0.013926435651675284,313,117
l1_imbalance,-2.6,-0.1852128952741623,-0.1208791583776474,0.007645886240135402,313,117
l1_imbalance,-2.4,-0.21212123334407806,-0.23478268086910248,0.037492149313235634,313,117
l1_imbalance,-2.2,-0.21212123334407806,-0.11999998241662979,-0.014117582807678608,313,117
l1_imbalance,-2.0,-0.19047613441944122,-0.1928429752588272,0.0105677070533301,313,117
l1_imbalance,-1.8,-0.18644072115421295,-0.23482534289360046,0.0379017503618142,313,117
