session,slug,marks,contracts,ticks,pnl_usd
books_2026-08-28,mlb-phi-laa-2026-08-28,27,8,81.18232843668112,29.42960656471193
books_2026-08-30,mlb-mia-wsh-2026-08-30,12,7,80.05058037597301,34.52185192142308
books_2026-09-19,mlb-nyy-ari-2026-09-19,4,3,78.54950405097009,62.92512517271019
books_2026-09-11,mlb-laa-wsh-2026-09-11,7,5,75.25654944391103,70.91386034081609
books_2026-08-28,mlb-cin-chc-2026-08-28,20,6,70.59712570859563,26.956523491157785
books_2026-09-12,mlb-laa-wsh-2026-09-12,8,3,50.980346306212255,23.006362596653187
books_2026-08-28,mlb-col-atl-2026-08-28,18,6,50.39799989542372,14.923999292285316
books_2026-09-17,mlb-phi-nym-2026-09-17,14,5,49.91453927708395,9.288206339127017
books_2026-09-19,mlb-chc-cin-2026-09-19,7,4,46.59650565564157,10.476098268970597
books_2026-09-18,mlb-kc-pit-2026-09-18,12,6,46.416490084707796,12.780109465121615
books_2026-09-11,mlb-kc-bos-2026-09-11,12,6,45.57898833340415,9.7389377769668
books_2026-08-28,mlb-tex-mil-2026-08-28,13,6,44.97199418014295,9.896248941056808
books_2026-09-17,mlb-bos-tex-2026-09-17,24,6,40.814336349173246,21.015115228637733
books_2026-09-19,mlb-min-laa-2026-09-19,11,4,40.77951647496228,10.78615123284016
books_2026-09-17,mlb-min-laa-2026-09-17,12,5,39.47676100972412,47.22681560999255
books_2026-08-30,mlb-cin-chc-2026-08-30,8,6,38.87550934892896,26.348860869358415
books_2026-09-11,mlb-tex-ari-2026-09-11,5,3,38.02100622850658,7.111012642889113
books_2026-08-28,mlb-cws-min-2026-08-28,12,5,33.998029133081495,7.294478923544437
books_2026-09-20,mlb-wsh-stl-2026-09-20,2,2,32.24350010633469,8.494027863572661
books_2026-09-18,mlb-atl-hou-2026-09-18,14,5,31.362513876855413,8.285479206295868
books_2026-09-18,mlb-bos-tb-2026-09-18,15,5,30.906489799513885,6.854684599745391
books_2026-09-11,mlb-sd-sf-2026-09-11,18,3,30.634917478001213,4.174298723767139
books_2026-09-18,mlb-chc-cin-2026-09-18,11,5,29.619494655042942,7.363688558506709
books_2026-08-28,mlb-bal-oak-2026-08-28,10,5,28.697009432464878,6.050441416957815
books_2026-09-13,mlb-pit-chc-2026-09-13,9,5,27.06099542188651,5.689603808569079
books_2026-09-18,mlb-sea-col-2026-09-18,8,3,26.298486880362073,5.588790494937461
books_2026-09-19,mlb-kc-pit-2026-09-19,8,6,25.45300974052671,5.95911540105984
books_2026-08-28,mlb-kc-cle-2026-08-28,10,5,25.156000075399902,6.394714477766884
books_2026-08-30,mlb-sd-tb-2026-08-30,14,5,25.129370782415325,6.83025030906259
books_2026-09-13,mlb-phi-atl-2026-09-13,7,4,24.22899332284931,7.684725704551032
books_2026-09-20,mlb-phi-nym-2026-09-20,11,4,24.095024497032213,4.004760035739817
books_2026-09-18,mlb-tor-tex-2026-09-18,8,4,23.98899956622723,8.901635503610613
books_2026-09-18,mlb-mil-bal-2026-09-18,7,3,23.86150261640551,6.323652753647398
books_2026-09-20,mlb-kc-pit-2026-09-20,3,2,23.507499162524944,7.203673713394554
books_2026-09-11,mlb-phi-atl-2026-09-11,8,5,23.087116038078115,10.662944941068218
books_2026-09-20,mlb-bos-tb-2026-09-20,3,2,22.80899574092032,6.846190330319331
books_2026-09-19,mlb-wsh-stl-2026-09-19,7,2,21.57145077773812,4.58525461652068
books_2026-08-28,mlb-mia-wsh-2026-08-28,9,5,21.54050712466244,3.4321201249016595
books_2026-09-18,mlb-min-laa-2026-09-18,11,5,21.328382283927258,4.707137271365969
books_2026-09-19,mlb-atl-hou-2026-09-19,7,3,20.804005637168903,4.8167954726892726
books_2026-09-18,mlb-oak-cle-2026-09-18,6,3,20.74100082591177,5.941777623993408
books_2026-09-19,mlb-mil-bal-2026-09-19,5,3,20.693489080667522,6.216325628592548
books_2026-09-18,mlb-det-cws-2026-09-18,9,3,20.369002954721477,11.209222220646943
books_2026-09-11,mlb-nym-nyy-2026-09-11,10,5,20.341326333930837,9.717922146206357
books_2026-09-12,mlb-bal-tor-2026-09-12,4,3,19.664496722728025,4.428440293469922
books_2026-08-28,mlb-lad-det-2026-08-28,8,3,19.51950256258253,3.61855629644524
books_2026-09-20,mlb-nyy-ari-2026-09-20,7,3,19.443498044490838,5.734967889824338
books_2026-09-13,mlb-kc-bos-2026-09-13,8,3,18.689450866721298,9.589805457296602
books_2026-09-13,mlb-cin-mil-2026-09-13,6,3,18.484496858179604,2.81758427676297
books_2026-09-13,mlb-laa-wsh-2026-09-13,7,4,18.002489654570866,4.248893806550283
books_2026-09-20,mlb-atl-hou-2026-09-20,6,2,17.188497676014926,2.723136151267299
books_2026-09-13,mlb-sd-sf-2026-09-13,15,6,16.69726183680451,2.934172873131584
books_2026-08-28,mlb-sd-tb-2026-08-28,7,5,16.47399356567863,3.24177891837528
books_2026-09-11,mlb-bal-tor-2026-09-11,13,4,16.464503219723802,2.1388406632555657
books_2026-09-17,mlb-det-cws-2026-09-17,13,6,16.434501924902225,7.788799324298668
books_2026-09-17,mlb-mil-pit-2026-09-17,6,3,15.932023952924336,17.470750273296385
books_2026-09-10,mlb-tex-sea-2026-09-10,14,6,15.844047580354298,6.0611650277196985
books_2026-08-28,mlb-hou-nym-2026-08-28,9,4,15.755996753633049,6.832180883822327
books_2026-09-11,mlb-cle-min-2026-09-11,4,3,15.51649704629184,3.9628982829512895
books_2026-09-13,mlb-sea-oak-2026-09-13,15,4,15.310515316128827,2.4680981945304827
books_2026-09-17,mlb-lad-cin-2026-09-17,8,4,15.290501487135934,2.3618543942019112
books_2026-08-28,mlb-pit-stl-2026-08-28,4,3,14.594498416274792,5.253744196305917
books_2026-09-13,mlb-tex-ari-2026-09-13,9,4,14.046837671849786,3.9815226321507793
books_2026-09-12,mlb-cws-stl-2026-09-12,9,5,13.854509086549301,3.542938588114192
books_2026-08-28,mlb-ari-sf-2026-08-28,11,6,13.652238131716292,2.3869748553345103
books_2026-08-30,mlb-bal-oak-2026-08-30,4,2,13.526498773455655,3.4337481486716275
books_2026-08-30,mlb-tex-mil-2026-08-30,9,4,13.446416174139994,4.297420626900581
books_2026-09-12,mlb-sd-sf-2026-09-12,7,3,13.092279116010708,2.8603363171301774
books_2026-09-11,mlb-lad-mia-2026-09-11,5,2,12.99099151706698,1.8571413857269454
books_2026-09-18,mlb-mia-sd-2026-09-18,5,3,12.78950003349784,2.666881192656365
books_2026-08-30,mlb-pit-stl-2026-08-30,5,4,12.71050418892506,1.6488514457866084
books_2026-09-12,mlb-tex-ari-2026-09-12,10,3,12.462510679364271,1.6642502883263157
books_2026-08-30,mlb-lad-det-2026-08-30,5,4,11.482009628295934,6.574645053677793
books_2026-09-20,mlb-tor-tex-2026-09-20,2,2,11.082000147342693,1.6234335888537055
books_2026-09-11,mlb-sea-oak-2026-09-11,6,4,11.075989048719443,2.333594367289404
books_2026-08-28,mlb-sea-tor-2026-08-28,7,5,10.33549596980217,2.569303055662789
books_2026-09-12,mlb-hou-tb-2026-09-12,5,4,10.234495745837695,5.522536437707389
books_2026-09-11,mlb-cws-stl-2026-09-11,6,3,10.203409011737737,5.721787141699465
books_2026-09-19,mlb-mia-sd-2026-09-19,4,4,9.57000262129307,4.245746215908806
books_2026-09-10,mlb-col-nyy-2026-09-10,8,4,9.003994904875796,4.021453358340064
books_2026-09-12,mlb-cin-mil-2026-09-12,8,3,8.754430630017525,9.999372162239391
books_2026-09-13,mlb-bal-tor-2026-09-13,7,5,8.656005416870132,2.722666238938151
books_2026-09-10,mlb-hou-phi-2026-09-10,11,6,8.615501277595774,3.5932344043884923
books_2026-09-19,mlb-sf-lad-2026-09-19,3,3,8.3560075081587,1.1268817396742685
books_2026-09-18,mlb-sf-lad-2026-09-18,6,4,8.038508566796787,3.071055002727716
books_2026-09-20,mlb-min-laa-2026-09-20,7,5,7.952005202889478,1.8733443333212438
books_2026-09-19,mlb-oak-cle-2026-09-19,2,2,7.634502517133954,1.5170391061310013
books_2026-09-13,mlb-cle-min-2026-09-13,4,2,6.965673489894895,1.0208291648377283
books_2026-09-12,mlb-pit-chc-2026-09-12,3,2,6.848002966403966,2.2441859654227367
books_2026-08-30,mlb-phi-laa-2026-08-30,2,2,6.5340045164525575,1.3421546670676912
books_2026-09-18,mlb-nyy-ari-2026-09-18,8,2,6.194903494037436,3.05331166947124
books_2026-09-19,mlb-phi-nym-2026-09-19,8,2,6.17949626973274,6.725393658001959
books_2026-09-13,mlb-col-det-2026-09-13,3,3,5.997507072657358,0.9980493724674782
books_2026-09-12,mlb-cle-min-2026-09-12,7,5,5.70700677639247,2.128170555833226
books_2026-09-20,mlb-det-cws-2026-09-20,4,3,5.586206027789119,4.295085045875737
books_2026-09-10,mlb-tb-atl-2026-09-10,3,2,5.571178629417423,5.9742231628203655
books_2026-09-12,mlb-col-det-2026-09-12,3,2,5.366995623648178,1.142155066879424
