date,live_tokens,live_rows,bars_1s,bars_5s,bars_15s,bars_60s,bars_300s
2026-03-06,13,233013,93461,56806,33609,14146,3635
2026-03-07,21,470940,198502,110491,58232,22272,5676
2026-03-08,17,374917,165947,93282,51215,19055,4562
2026-03-09,4,67602,28925,17477,9615,4023,1127
2026-03-10,13,169241,73297,42910,25908,11384,2992
2026-03-11,79,3776615,724276,366279,177512,63033,16478
2026-03-12,60,2469334,522177,259296,127833,45023,11564
2026-03-13,60,2415920,465671,209515,102916,41582,11291
2026-03-14,88,6350966,1216044,537018,232495,75997,18154
2026-03-15,40,1081306,302799,147682,82741,33429,8385
2026-03-16,33,1883723,361674,159331,72105,24736,5798
2026-03-17,76,3979666,671825,294171,138728,53691,14498
2026-03-18,89,6989229,1174392,527461,237539,79808,19194
2026-03-19,28,1992196,286435,131096,62819,22970,5438
2026-03-20,34,1032985,213658,112871,61637,22995,6270
2026-03-21,113,3703760,751406,370093,186615,68405,19644
2026-03-22,93,6020048,927433,418281,199081,66987,16780
2026-03-23,59,3236709,705839,324836,138918,44434,10832
2026-03-24,145,8460001,1457199,686251,315830,107215,26954
2026-03-25,98,4562300,569150,242113,119651,45906,12562
2026-03-26,46,2903465,354085,150288,71856,27403,7301
