model,precision,recall,f1,pr_auc,pr_auc_lift,roc_auc,fp_per_hour,tp,fp,fn,prevalence,res_s,K_bars,K_span_min,lookback_bars,lookback_min,lm_threshold,n_windows,stride
0 prevalence,0.0,0.0,0.0,0.0157242213486543,1.0,0.5,0.0,0,0,52,0.0157242213486543,1,60,1.0,120,2.0,7.222900592788525,9882,4
2 logistic (snapshot),0.0145113102859581,0.6538461538461539,0.0283924843423799,0.0154650017313389,0.9835146293372704,0.4564516129032258,2513.577260356819,34,2309,18,0.0157242213486543,1,60,1.0,120,2.0,7.222900592788525,9882,4
7 CNN-LSTM,0.0153927813163481,0.5576923076923077,0.0299586776859504,0.0310721081567045,1.9760665706581115,0.4882074914332979,2019.3528878137283,29,1855,23,0.0157242213486543,1,60,1.0,120,2.0,7.222900592788525,9882,4
8 CNN-LSTM-Attention,0.0118085767557489,0.3653846153846153,0.0228777844671884,0.0139317881113454,0.8860081400811415,0.4414008034975776,1730.8739038403387,19,1590,33,0.0157242213486543,1,60,1.0,120,2.0,7.222900592788525,9882,4
0 prevalence,0.0,0.0,0.0,0.011175860142093,1.0,0.5,0.0,0,0,280,0.011175860142093,5,60,5.0,120,10.0,7.12081151789687,88814,2
2 logistic (snapshot),0.040621266427718,0.1214285714285714,0.0608773500447627,0.026263674464014,2.3500360715050266,0.6722873346480758,23.07655464197333,34,803,246,0.011175860142093,5,60,5.0,120,10.0,7.12081151789687,88814,2
7 CNN-LSTM,0.0625,0.1464285714285714,0.0876068376068376,0.0365689507591306,3.2721374725687795,0.7058605508078746,17.673824538995767,41,615,239,0.011175860142093,5,60,5.0,120,10.0,7.12081151789687,88814,2
8 CNN-LSTM-Attention,0.0709677419354838,0.1178571428571428,0.0885906040268456,0.0326890324594262,2.924967925851658,0.6908212382797634,12.41478406641654,33,432,247,0.011175860142093,5,60,5.0,120,10.0,7.12081151789687,88814,2
0 prevalence,0.0,0.0,0.0,0.0125680489280193,1.0,0.5,0.0,0,0,187,0.0125680489280193,15,60,15.0,120,30.0,7.001350821214944,142971,1
2 logistic (snapshot),0.0606060606060606,0.1818181818181818,0.0909090909090909,0.038587674520291,3.0702995143711758,0.6863635635676443,8.500571274951273,34,527,153,0.0125680489280193,15,60,15.0,120,30.0,7.001350821214944,142971,1
7 CNN-LSTM,0.1417322834645669,0.0962566844919786,0.1146496815286624,0.0773079788763042,6.151151966313,0.7354269703327214,1.758182673566772,18,109,169,0.0125680489280193,15,60,15.0,120,30.0,7.001350821214944,142971,1
8 CNN-LSTM-Attention,0.1829268292682926,0.0802139037433155,0.1115241635687732,0.0780241390567588,6.208134572328959,0.7429868341168611,1.080717790174071,15,67,172,0.0125680489280193,15,60,15.0,120,30.0,7.001350821214944,142971,1
0 prevalence,0.0,0.0,0.0,0.0164775530340404,1.0,0.5,0.0,0,0,167,0.0164775530340404,60,60,60.0,120,120.0,6.862256584275364,57031,1
2 logistic (snapshot),0.0341296928327645,0.059880239520958,0.0434782608695652,0.0430292850528608,2.611388047968532,0.780939124960352,1.6753823384311792,10,283,157,0.0164775530340404,60,60,60.0,120,120.0,6.862256584275364,57031,1
7 CNN-LSTM,0.0973053892215568,0.3892215568862275,0.155688622754491,0.082207602648255,4.989066184671045,0.8562910294979865,3.569807597434633,65,603,102,0.0164775530340404,60,60,60.0,120,120.0,6.862256584275364,57031,1
8 CNN-LSTM-Attention,0.0625,0.0958083832335329,0.0756501182033096,0.0675053316910867,4.096805608917151,0.8513242375601926,1.42081894425259,16,240,151,0.0164775530340404,60,60,60.0,120,120.0,6.862256584275364,57031,1
0 prevalence,0.0,0.0,0.0,0.0292226767971946,1.0,0.5,0.0,0,0,100,0.0292226767971946,300,60,300.0,120,600.0,6.702052364617101,24384,1
2 logistic (snapshot),0.1047904191616766,0.35,0.1612903225806451,0.0899893795879279,3.079436569498894,0.7686243226971703,1.048509643483343,35,299,65,0.0292226767971946,300,60,300.0,120,600.0,6.702052364617101,24384,1
7 CNN-LSTM,0.1904761904761904,0.28,0.2267206477732793,0.1420011723657444,4.859280118355774,0.787489464178206,0.4172998246639391,28,119,72,0.0292226767971946,300,60,300.0,120,600.0,6.702052364617101,24384,1
8 CNN-LSTM-Attention,0.209090909090909,0.23,0.219047619047619,0.1257350631703449,4.302653861689204,0.7775105358217941,0.3050847457627118,23,87,77,0.0292226767971946,300,60,300.0,120,600.0,6.702052364617101,24384,1
