checked_utc,dataset_category,question,condition_id,seconds_delay,minimum_order_size,minimum_tick_size,maker_base_fee,taker_base_fee,reward_min_size,reward_max_spread,token_id,outcome,best_bid,best_ask,midpoint,spread,spread_cents,best_bid_size,best_ask_size,best_bid_dollars,best_ask_dollars,levels_bid,levels_ask,within_bankroll_ask_shares
2026-09-16T04:19:20.884660+00:00,Counter-Strike / CS2,Map 1: Odd/Even Total Kills?,0xf6a2906c40b444ebbd5557af28e21a396fbdb2091185f194539dda607a2b4728,1,5,0.01,1000,1000,50,4.5,444966130222062054613139364061298784566668089770007112016976056844298425523,Odd,0.02,0.99,0.505,0.97,97.0,600.0,5.0,12.0,4.95,2,1,101.01010101010101
2026-09-16T04:19:21.157941+00:00,Counter-Strike / CS2,Map 1: Odd/Even Total Kills?,0xf6a2906c40b444ebbd5557af28e21a396fbdb2091185f194539dda607a2b4728,1,5,0.01,1000,1000,50,4.5,33827906345203192450315148777896920072060634804465817119010951921004793707402,Even,0.01,0.98,0.495,0.97,97.0,5.0,600.0,0.05,588.0,1,2,102.04081632653062
2026-09-16T04:19:21.784483+00:00,NHL,Maple Leafs vs. Canadiens,0xbeab48738c12339794910d8a3244f05273f58b1b7520bacf27bc3b0c4e1354cf,1,5,0.01,1000,1000,50,4.5,1591560516387023138171894990334232858478429741521410229978399704925012984174,Maple Leafs,0.44,0.46,0.45,0.020000000000000018,2.0000000000000018,35.31,528.42,15.5364,243.07319999999999,28,30,217.39130434782606
2026-09-16T04:19:22.065965+00:00,NHL,Maple Leafs vs. Canadiens,0xbeab48738c12339794910d8a3244f05273f58b1b7520bacf27bc3b0c4e1354cf,1,5,0.01,1000,1000,50,4.5,96681618785120897448033433545970801828228901330760739130208492195639478568776,Canadiens,0.54,0.56,0.55,0.020000000000000018,2.0000000000000018,528.42,35.31,285.3468,19.773600000000002,30,28,178.57142857142856
2026-09-16T04:19:22.690227+00:00,NBA,Will LeBron James retire before next NBA season?,0x73057b771600660ac6e659c5b831587fd3bdd378e63f359731aa3e1538577fb0,0,5,0.001,1000,1000,50,4.5,93899316926271869920456375862370520960408256763360958310639371758093650988742,Yes,0.012,0.021,0.0165,0.009000000000000001,0.9000000000000001,40.0,1789.01,0.48,37.569210000000005,11,30,4761.9047619047615
2026-09-16T04:19:23.006043+00:00,NBA,Will LeBron James retire before next NBA season?,0x73057b771600660ac6e659c5b831587fd3bdd378e63f359731aa3e1538577fb0,0,5,0.001,1000,1000,50,4.5,37219771566408969144411068933461010362610308197111804081679842739542033488139,No,0.979,0.988,0.9835,0.009000000000000008,0.9000000000000008,1789.01,40.0,1751.4407899999999,39.519999999999996,30,11,101.21457489878543
2026-09-16T04:19:23.576543+00:00,Formula 1,Who will finish higher: Albon or Jr.?,0x5c8065d2315780558ae42631d577be719433d176a3e7943fbfde60ccbb1c2ff2,1,5,0.001,1000,1000,50,4.5,98871358247403742132211926816830673331570056757150274511765332665507609401083,Albon,0.01,0.998,0.504,0.988,98.8,22.77,7.48,0.2277,7.46504,5,2,100.20040080160321
2026-09-16T04:19:23.859898+00:00,Formula 1,Who will finish higher: Albon or Jr.?,0x5c8065d2315780558ae42631d577be719433d176a3e7943fbfde60ccbb1c2ff2,1,5,0.001,1000,1000,50,4.5,58643061032639894182035176714742045220416552697698268298611939985489336979433,Jr.,0.002,0.99,0.496,0.988,98.8,7.48,22.77,0.014960000000000001,22.5423,2,5,101.01010101010101
2026-09-16T04:19:24.436145+00:00,Dota 2,Game 3: Both Teams Beat Roshan?,0x9d48bacdefd7ff23454d24d81aec33a61b63b0c5928adc0010db2ea6e4c0a82a,1,5,0.001,1000,1000,50,4.5,81972071804122096234318846858229509186329325016917528142814707865682379775023,Yes,,0.999,,,,0.0,271.0,0.0,270.729,0,1,100.10010010010011
2026-09-16T04:19:24.750677+00:00,Dota 2,Game 3: Both Teams Beat Roshan?,0x9d48bacdefd7ff23454d24d81aec33a61b63b0c5928adc0010db2ea6e4c0a82a,1,5,0.001,1000,1000,50,4.5,21899651056718374890250450177000363795298886028242229087729180742577181382872,No,0.001,,,,,271.0,0.0,0.271,0.0,1,0,0.0
