checked_utc,dataset_category,sport_code,event_slug,event_title,question,condition_id,seconds_delay,status
2026-09-16T04:26:31.064023+00:00,Counter-Strike / CS2,cs2,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,NHL,nhl,nhl-tor-mon-2026-09-19,Maple Leafs vs. Canadiens,Maple Leafs vs. Canadiens,0xbeab48738c12339794910d8a3244f05273f58b1b7520bacf27bc3b0c4e1354cf,1,checked
2026-09-16T04:26:31.064023+00:00,NBA,nba,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Formula 1,f1,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Dota 2,dota2,dota2-ic-yes-2026-09-13,Dota 2: Inner Circle vs Yellow Submarine (BO3) - European Pro League Group B,Dota 2: Inner Circle vs Yellow Submarine (BO3) - European Pro League Group B,0xbf75ad5053e3e64d5f97b07656ec2e12f5df4dc8eb623fd31dc5903be304cd5b,1,checked
2026-09-16T04:26:31.064023+00:00,Valorant,val,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Esports (generic),cs2,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,League of Legends,lol,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Cricket,cricipl,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Premier League,epl,epl-bre-che-2026-09-18,Brentford FC vs. Chelsea FC,Will Brentford FC win on 2026-09-18?,0x805bfb135758cd3f7ae935932bf238882c12a808f8fe2cff1f74ee7fcc045690,1,checked
2026-09-16T04:26:31.064023+00:00,MLS,mls,mls-sea-rsl-2026-04-12,Seattle Sounders FC vs. Real Salt Lake,Will Seattle Sounders FC win on 2026-04-12?,0x35c84a4eec596ca623c2d5e674de271dd4883f28a758c1ce6b2b90f453ee2d88,1,checked
2026-09-16T04:26:31.064023+00:00,UFC,ufc,ufc-gsteve-sea18-2026-09-19,"UFC 331: Gable Steveson vs. Sean Sharaf (Heavyweight, Prelims)","UFC 331: Gable Steveson vs. Sean Sharaf (Heavyweight, Prelims)",0x0a4037a19c59f47d28a2936f434fbfa7abe46d052943d23a2056cf51628651df,1,checked
2026-09-16T04:26:31.064023+00:00,NFL,nfl,nfl-det-buf-2026-09-18,Lions vs. Bills,Lions vs. Bills,0x50a35dd8f8d1dc251a6f3df70794eab797202747494119ac04f8f377d4e77670,1,checked
2026-09-16T04:26:31.064023+00:00,NCAA,ncaab,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Ligue 1,fl1,fl1-asm-rcl-2026-09-18,AS Monaco FC vs. Racing Club de Lens,Will AS Monaco FC win on 2026-09-18?,0x2fb3d1ba60d0703c61bb755be21434122862b6e38e540659056d5383de12152e,1,checked
2026-09-16T04:26:31.064023+00:00,Champions League,ucl,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,La Liga,lal,lal-dep-sev-2026-09-16,RC Deportivo A Coruña vs. Sevilla FC,Will RC Deportivo A Coruña win on 2026-09-16?,0x499f114dd4e1e3412ce337c8ffe7b2c4d32fe23fc541e6977cb6ad2b482aa466,1,checked
2026-09-16T04:26:31.064023+00:00,Serie A,sea,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Bundesliga,bun,bun-bay-uni-2026-09-18,FC Bayern München vs. 1. FC Union Berlin,Will FC Bayern München win on 2026-09-18?,0x45c738d344ec615edefd4e35f8999be72f6b454c6c0b3f5102d1a13c37ce8ba6,1,checked
2026-09-16T04:26:31.064023+00:00,EPL,epl,epl-bre-che-2026-09-18,Brentford FC vs. Chelsea FC,Will Brentford FC win on 2026-09-18?,0x805bfb135758cd3f7ae935932bf238882c12a808f8fe2cff1f74ee7fcc045690,1,checked
2026-09-16T04:26:31.064023+00:00,Baseball,mlb,mlb-tb-nyy-2026-05-23,Tampa Bay Rays vs. New York Yankees,Tampa Bay Rays vs. New York Yankees,0x0da3005f7d57b33cac257bcd4633611dd601709d2fa8bcb55749a98a3114d99f,0,checked
2026-09-16T04:26:31.064023+00:00,Football,nfl,nfl-det-buf-2026-09-18,Lions vs. Bills,Lions vs. Bills,0x50a35dd8f8d1dc251a6f3df70794eab797202747494119ac04f8f377d4e77670,1,checked
2026-09-16T04:26:31.064023+00:00,Basketball,nba,,,,,,no current matchup event
2026-09-16T04:26:31.064023+00:00,Rugby,ruprem,ruprem-har-bat-2026-09-25,Premiership Rugby: Harlequins vs Bath,Will Harlequins win?,0x25cd64d826b999c14f8196a5c3465518a5b279f7540d4c8ae1ffc8bcee3ae82a,1,checked
2026-09-16T04:26:31.064023+00:00,WNBA,wnba,wnba-conn-atl-2026-09-17,Connecticut Sun vs. Atlanta Dream,Connecticut Sun vs. Atlanta Dream,0x05825635204dca215b585bf6d7e80d9bdfaf572dc8e94d76ed3b08072f5dda48,1,checked
2026-09-16T04:26:31.064023+00:00,MLB,mlb,mlb-tb-nyy-2026-05-23,Tampa Bay Rays vs. New York Yankees,Tampa Bay Rays vs. New York Yankees,0x0da3005f7d57b33cac257bcd4633611dd601709d2fa8bcb55749a98a3114d99f,0,checked
