checked_utc,dataset_category,sport_code,official_sport_name,primary_tag_id,event_slug,question,market_type,condition_id,seconds_delay,status
2026-09-16T04:16:51.331497+00:00,Counter-Strike / CS2,cs2,CS2,100780,cs2-aaa-inf1-2026-03-10,Map 1: Odd/Even Total Kills?,matchup,0xf6a2906c40b444ebbd5557af28e21a396fbdb2091185f194539dda607a2b4728,1,checked
2026-09-16T04:16:51.331497+00:00,NHL,nhl,NHL,899,nhl-tor-mon-2026-09-19,Maple Leafs vs. Canadiens,matchup,0xbeab48738c12339794910d8a3244f05273f58b1b7520bacf27bc3b0c4e1354cf,1,checked
2026-09-16T04:16:51.331497+00:00,NBA,nba,NBA,745,will-lebron-james-retire-before-next-nba-season,Will LeBron James retire before next NBA season?,future/prop,0x73057b771600660ac6e659c5b831587fd3bdd378e63f359731aa3e1538577fb0,0,checked
2026-09-16T04:16:51.331497+00:00,Formula 1,f1,Formula 1,435,f1-dutch-grand-prix-h2h-2026-08-23,Who will finish higher: Albon or Jr.?,game-like,0x5c8065d2315780558ae42631d577be719433d176a3e7943fbfde60ccbb1c2ff2,1,checked
2026-09-16T04:16:51.331497+00:00,Dota 2,dota2,Dota 2,102366,dota2-tt1-st-2026-05-19,Game 3: Both Teams Beat Roshan?,matchup,0x9d48bacdefd7ff23454d24d81aec33a61b63b0c5928adc0010db2ea6e4c0a82a,1,checked
2026-09-16T04:16:51.331497+00:00,Valorant,val,Valorant,101672,val-tec-ag1-2026-05-20,Valorant: TEC Esports vs All Gamers - Map 1 Winner,matchup,0x96e48a99fc4cfbbe5d03fe5ae3f299a94c7d4eea4f3d6b1bf8a1775a70b9ac35,1,checked
2026-09-16T04:16:51.331497+00:00,Esports (generic),cs2,CS2,100780,cs2-aaa-inf1-2026-03-10,Map 1: Odd/Even Total Kills?,matchup,0xf6a2906c40b444ebbd5557af28e21a396fbdb2091185f194539dda607a2b4728,1,checked
2026-09-16T04:16:51.331497+00:00,League of Legends,lol,LoL,65,lol-al-wb-2026-01-20,Series: Anyone's Legend Kill Handicap (-10.5) vs Weibo Gaming (+10.5),matchup,0x5e47746f9722b13a5a1a32dce9315a86132aea8991defcc68f91be89076175cb,1,checked
2026-09-16T04:16:51.331497+00:00,Cricket,cricipl,Indian Premier League,101988,,,,,,no currently accepting market
2026-09-16T04:16:51.331497+00:00,Premier League,epl,Premier League,306,epl-che-hul-2026-09-12-total-corners,Chelsea FC vs. Hull City AFC: Total Corners Odd or Even?,matchup,0xde01940402776be5c8d2675d878f11a60f633758586e40723580539a39852c90,1,checked
