date,original_orderbook_rows,sports_orderbook_rows,orderbook_percentage_retained,original_orderbook_size_mb,sports_orderbook_size_mb,sports_orderbook_assets,sports_orderbook_markets,original_snapshot_rows,sports_snapshot_rows,snapshot_percentage_retained,original_snapshot_size_mb,sports_snapshot_size_mb,sports_snapshot_assets,sports_snapshot_markets,sports_assets,sports_markets
2026-03-06,325974151,23681304,7.264779715616163,2045.4809379577637,160.79043292999268,2428,2428,3611054,108240,2.997462790642289,301.92478466033936,12.850441932678223,2432,2432,2428,2428
2026-03-07,335183096,23801324,7.10099175168428,2141.288731575012,155.36611652374268,2428,2428,3118177,78051,2.503097162220105,223.58850574493408,6.891749382019043,1058,1058,2428,2428
2026-03-08,344108110,23576550,6.851495014168657,2167.5732927322388,155.45807647705078,2428,2428,3193191,48544,1.5202347745562355,227.1190996170044,5.844646453857422,1100,1100,2428,2428
2026-03-09,202707931,29263681,14.436376936825427,1278.0421209335327,177.05384159088135,2440,2440,734504,79215,10.78482894579199,80.2709150314331,9.497553825378418,2440,2440,2440,2440
2026-03-10,295192040,24116134,8.169642379245728,1870.6401634216309,169.21644020080566,2564,2564,2067237,66245,3.2045188819666057,178.1399803161621,9.468202590942383,2568,2568,2564,2564
2026-03-11,269151907,32992826,12.258068823565868,1730.4759798049927,225.31371784210205,3114,3114,1534613,127556,8.311932715283918,152.90552806854248,14.969389915466309,3118,3118,3114,3114
2026-03-12,324588992,30523326,9.403684891445733,2085.4808959960938,219.76937770843506,3373,3373,2632182,131261,4.986775230588158,227.92932224273682,15.165640830993652,3363,3363,3373,3373
2026-03-13,238918429,24700571,10.338495487093631,1558.7018041610718,178.79743766784668,2759,2759,1313340,141153,10.747635798803051,133.93646812438965,16.184914588928223,2763,2763,2759,2759
2026-03-14,372327310,30460872,8.181208088120101,2364.641481399536,222.75755310058594,3091,3091,2642525,129906,4.915979981267916,217.1808738708496,13.595949172973633,3080,3080,3091,3091
2026-03-15,227559473,23862572,10.486301310778655,1501.659203529358,174.38661670684814,3152,3152,696065,79763,11.459130971963825,77.02154731750488,10.059568405151367,2886,2886,3152,3152
2026-03-16,292355752,26814596,9.171906424471512,1809.1567821502686,194.0688943862915,2841,2841,2412581,166979,6.921176947012349,216.06804084777832,18.41702938079834,2814,2814,2841,2841
2026-03-17,249384697,28591568,11.464844613139995,1671.6869678497314,205.00745487213135,2725,2725,2331413,251295,10.778656548625232,181.47457599639893,21.18836784362793,2724,2724,2725,2725
2026-03-18,390483927,34272587,8.776952040845462,2519.585925102234,264.1186418533325,2864,2864,4367958,252315,5.776497850940874,332.3213424682617,22.52998447418213,2866,2866,2864,2864
2026-03-19,161777306,18910860,11.689439308625897,1078.8626708984375,135.22404956817627,2939,2939,1552953,276489,17.804080355297295,118.71505355834961,21.212647438049316,2679,2679,2939,2939
2026-03-20,140850078,15501921,11.005972605851166,963.7452020645142,117.41996669769287,2565,2565,6034102,1019823,16.900990404205963,196.79740524291992,33.62887954711914,2563,2563,2565,2565
2026-03-21,258122423,18602411,7.206817131109915,1653.219223022461,143.4175271987915,2687,2687,2547769,115375,4.528471772754909,182.10603427886963,10.650674819946289,2118,2118,2687,2687
2026-03-22,333645311,23134456,6.933847183603908,2095.982229232788,194.22375297546387,2711,2711,3268145,190906,5.841417684955839,239.80131912231445,13.545085906982422,2526,2526,2711,2711
2026-03-23,135930818,23441523,17.24518644476928,946.8168792724609,170.7725486755371,2600,2600,581371,130201,22.395509923955615,63.294636726379395,11.3297758102417,2474,2474,2600,2600
2026-03-24,278098710,29127331,10.473738263654656,1753.3454036712646,232.32661533355713,2813,2813,3678020,182827,4.970799506256084,288.6561632156372,17.702597618103027,2813,2813,2813,2813
2026-03-25,247486535,22487041,9.0861674555345,1551.7920503616333,179.72649383544922,2804,2804,2502722,113484,4.534422920324351,207.66298866271973,12.936535835266113,2798,2798,2804,2804
2026-03-26,131930559,19323930,14.6470462540828,916.0593872070312,141.58012580871582,2372,2372,854503,100739,11.789192080074617,86.34861469268799,10.909564018249512,2368,2368,2372,2372
