date,rows,tokens,live,live_rows,med_rng
2026-03-06,23681304,2428,13,233013,0.1289999783039093
2026-03-07,23801324,2428,21,470940,0.19499999284744263
2026-03-08,23576550,2428,17,374917,0.17000001668930054
2026-03-09,29263681,2440,4,67602,0.16824999451637268
2026-03-10,24116134,2564,13,169241,0.14000004529953003
2026-03-11,32992826,3114,79,3776615,0.499500036239624
2026-03-12,30523326,3373,60,2469334,0.5197499990463257
2026-03-13,24700571,2759,60,2415920,0.5019999742507935
2026-03-14,30460872,3091,88,6350966,0.5870000720024109
2026-03-15,23862572,3152,40,1081306,0.2617499828338623
2026-03-16,26814596,2841,33,1883723,0.42000001668930054
2026-03-17,28591568,2725,76,3979666,0.5669999718666077
2026-03-18,34272587,2864,89,6989229,0.499500036239624
2026-03-19,18910860,2939,28,1992196,0.49950000643730164
2026-03-20,15501921,2565,34,1032985,0.5247499942779541
2026-03-21,18602411,2687,113,3703760,0.6344999670982361
2026-03-22,23134456,2711,93,6020048,0.6044999957084656
2026-03-23,23441523,2600,59,3236709,0.6395000219345093
2026-03-24,29127331,2813,145,8460001,0.6294999718666077
2026-03-25,22487041,2804,98,4562300,0.5199999809265137
2026-03-26,19323930,2372,46,2903465,0.6794999837875366
