model,seasons,n,winrate,logloss,brier,auc,cal_slope,bets,bet_winrate,flat_roi,mkt_winrate
market,3.0,3612.0,0.6937984496124031,0.5775247400484984,0.19737610064513314,0.7598855263535708,1.088332101576959,0.0,,,0.6937984496124031
margin_ridge,3.0,3612.0,0.6705426356589147,0.6030886446060206,0.2079971925641491,0.7318283827893771,1.1961645511942651,2653.0,0.31021485111194874,-0.1168071200627154,0.6937984496124031
logit_l2,3.0,3612.0,0.6746954595791805,0.6038355126978114,0.20825588269906317,0.7314833251980601,1.2045370086972065,2682.0,0.30462341536167037,-0.12963103269248966,0.6937984496124031
ensemble_elo,3.0,3612.0,0.6691583610188261,0.6053852045419008,0.20917593341345256,0.7270002001707832,1.1050935910194553,2591.0,0.3099189502122733,-0.14603629237778518,0.6937984496124031
ensemble,3.0,3612.0,0.668327796234773,0.606526455947366,0.20946023959365614,0.7278225542557297,1.18569143557937,2692.0,0.30460624071322434,-0.12213102211820656,0.6937984496124031
elo,3.0,3612.0,0.667220376522702,0.6075305474855475,0.2103077040610886,0.7226531487523784,0.9717499705863456,2467.0,0.3554925010133766,-0.10947447622414966,0.6937984496124031
gbm_elo_offset,3.0,3612.0,0.6630675526024363,0.607939584822329,0.21016560535157708,0.7257102847271389,1.2271335300964976,2760.0,0.3010869565217391,-0.11141046790876877,0.6937984496124031
lightgbm,3.0,3612.0,0.6674972314507198,0.6100890355040992,0.2108606936581604,0.7242843587627077,1.1144277678641978,2698.0,0.3172720533728688,-0.12795357089969783,0.6937984496124031
margin_gbm,3.0,3612.0,0.6625138427464009,0.6111046896006412,0.21153354336051688,0.7215827299374891,1.0319129938145293,2679.0,0.3318402388951101,-0.13038395995276633,0.6937984496124031
random_forest,3.0,3612.0,0.6630675526024363,0.6111902051715782,0.21140083485737055,0.7231851099598735,1.1485543460379917,2691.0,0.3095503530286139,-0.13195208221553584,0.6937984496124031
mlp,3.0,3612.0,0.6586378737541528,0.6127346969163374,0.21249310209883673,0.7160748915376645,1.0931687104384122,2754.0,0.3137254901960784,-0.12106555921025686,0.6937984496124031
log5_wpct,3.0,3612.0,0.6528239202657807,0.6170383660002129,0.21450203794876382,0.7093622103790183,1.118429949250485,2818.0,0.31369765791341375,-0.11407941650384226,0.6937984496124031
