model,seasons,n,winrate,logloss,brier,auc,cal_slope,bets,bet_winrate,flat_roi,mkt_winrate
market,3.0,3937.0,0.5925831851663703,0.6650073306267865,0.23642382581404275,0.6215653715402794,0.9836814037421011,5.0,0.2,-0.6,0.5925831851663703
margin_ridge,3.0,3937.0,0.5704851409702819,0.6735008175020365,0.24046996625388473,0.5988784626463696,0.7756675925819423,1956.0,0.44069529652351735,-0.06669044819871935,0.5925831851663703
logit_l2,3.0,3937.0,0.5730251460502921,0.67379685132257,0.24062369170041492,0.5982094670953891,0.7808159456294268,1960.0,0.43214285714285716,-0.0789346169106654,0.5925831851663703
gbm_elo_offset,3.0,3937.0,0.572263144526289,0.6739927133610062,0.24069013608880693,0.5987986465283177,0.8081960790456971,2046.0,0.42668621700879766,-0.064960760149436,0.5925831851663703
ensemble_elo,3.0,3937.0,0.571755143510287,0.6743302478919098,0.24084626826652536,0.5979059647885626,0.7658830703570625,1808.0,0.4303097345132743,-0.08774636752624472,0.5925831851663703
elo,3.0,3937.0,0.571247142494285,0.6746521418036735,0.24099613531294123,0.595598397760763,0.7318573667509872,1826.0,0.4485213581599124,-0.07950731181862293,0.5925831851663703
ensemble,3.0,3937.0,0.5699771399542799,0.6752577294718991,0.2412719183555384,0.5970239899657622,0.7571777368168437,1962.0,0.42099898063200814,-0.10148087430492686,0.5925831851663703
lightgbm,3.0,3937.0,0.5732791465582932,0.6778588585817702,0.2424329139900387,0.5951991477547384,0.6887754878487339,2313.0,0.4474708171206226,-0.08042913200487685,0.5925831851663703
random_forest,3.0,3937.0,0.5646431292862586,0.6779232668797911,0.2425324047087424,0.5920914768733568,0.7100740959777089,2123.0,0.4262835609985869,-0.09170263095451917,0.5925831851663703
margin_gbm,3.0,3937.0,0.569723139446279,0.6810280266416155,0.24384335772635451,0.5958033481818988,0.5948622203380118,2418.0,0.4801488833746898,-0.06271945223956268,0.5925831851663703
log5_wpct,3.0,3937.0,0.5631191262382524,0.6829071265243255,0.24484104917475116,0.5803308898167727,0.5959035783825244,2524.0,0.4354199683042789,-0.07373199501811199,0.5925831851663703
mlp,3.0,3937.0,0.5590551181102362,0.6874171854866498,0.2466790167857867,0.5730069592797999,0.5364036728337487,2431.0,0.44014808720691073,-0.0858969966119958,0.5925831851663703
