model,seasons,n,winrate,logloss,brier,auc,cal_slope,bets,bet_winrate,flat_roi,mkt_winrate
market,4.0,9443.0,0.5678280207561156,0.6789831594691649,0.24305443953593672,0.5880322605434252,0.8829433321399106,10.0,0.4,-0.158,0.5678280207561156
ensemble_elo,4.0,9455.0,0.565520888418826,0.6799449104362748,0.24352221568401322,0.5848004760964712,0.8891203334393786,3656.0,0.46198030634573306,0.011649491402514596,0.5678280207561156
gbm_elo_offset,4.0,9455.0,0.5631940772078265,0.6800463727784656,0.2435626850852326,0.5839138611318431,0.976726031123831,4175.0,0.44023952095808383,8.323372113712981e-05,0.5678280207561156
ensemble,4.0,9455.0,0.5609730301427815,0.6802282370416325,0.24365593041130792,0.5836827742838563,0.9355336052296462,3847.0,0.45126072264101896,0.012641360653604957,0.5678280207561156
logit_enet,4.0,9455.0,0.558011634056055,0.6805859672631552,0.24384372120416453,0.5815009652759388,0.9132152728026612,4108.0,0.45180136319376824,0.0028734567109066534,0.5678280207561156
margin_ridge,4.0,9455.0,0.5607615018508726,0.6805868491647125,0.24384434466349278,0.5813347339628931,0.9109622882881984,4165.0,0.45210084033613446,0.0029663965469359783,0.5678280207561156
extra_trees,4.0,9455.0,0.5598096245372819,0.6806362231118592,0.24383772973177614,0.582315295218554,1.0794928525709053,4369.0,0.42984664682993823,0.0005624528846076155,0.5678280207561156
random_forest,4.0,9455.0,0.5593865679534638,0.6807088650088612,0.24388462759373924,0.5821773989576583,0.8966377269990596,3898.0,0.44433042585941507,-0.014913747913510779,0.5678280207561156
calibrated_gbm,4.0,9455.0,0.5581173982020096,0.6808307770971841,0.24393725314122522,0.5821303014577234,0.9159730031602275,4106.0,0.44909887968826107,0.004458945117196169,0.5678280207561156
mlp,4.0,9455.0,0.5576943416181914,0.6808696657484032,0.2439698561121999,0.5823666262807513,0.9614101092072845,4247.0,0.4424299505533318,-0.003078493923395364,0.5678280207561156
xgboost,4.0,9455.0,0.5593865679534638,0.6809623173767583,0.2440059921830172,0.582213204492089,0.8563804491921813,4125.0,0.4576969696969697,-0.001471928924193793,0.5678280207561156
logit_l2,4.0,9455.0,0.5572712850343734,0.681012178999394,0.24404778893481494,0.5803298071066871,0.8903401353270083,4204.0,0.4543292102759277,0.0022256939723679803,0.5678280207561156
elo_sp,4.0,9455.0,0.5652035959809625,0.6810181290598689,0.2440291726507956,0.5832259386150491,0.7707908779141924,4227.0,0.484504376626449,0.0034104749056845327,0.5678280207561156
lightgbm,4.0,9455.0,0.5591750396615547,0.6810818107465746,0.24405550678315452,0.5821487742775543,0.8482599496942349,4099.0,0.4591363747255428,0.0003061562858335068,0.5678280207561156
elo,4.0,9455.0,0.5589635113696457,0.681860249988879,0.24443959537344334,0.577945827885611,0.8145165305104597,4618.0,0.4657860545690775,0.004135549441940795,0.5678280207561156
margin_gbm,4.0,9455.0,0.5611845584346906,0.6826878220633738,0.24482084350069405,0.5813960548090661,0.7077412590356994,4451.0,0.48191417658953045,-0.018663410338815578,0.5678280207561156
log5_wpct,4.0,9455.0,0.5485986250661026,0.6876265610488268,0.24722372421876196,0.5621986283197684,0.5923407868958179,5688.0,0.4660689170182841,-0.02480709265171097,0.5678280207561156
log5_pythag,4.0,9455.0,0.5487043892120571,0.687933729573858,0.24736053403898725,0.5632532769816018,0.5722984912597464,5677.0,0.4800070459749868,-0.015205732124826883,0.5678280207561156
runs_negbin,4.0,9455.0,0.5537810682178741,0.693072896492538,0.24937779933151427,0.5742746453734748,0.47020961542697803,6543.0,0.5142900810025983,-0.011484712278929655,0.5678280207561156
